sourcecommonname,documentidentifier,themes,v2tone,persons,v2persons,organizations,v2organizations
yahoo.com,https://www.yahoo.com/news/apple-samsung-iphone-patent-feud-011329784.html,WB_845_LEGAL_AND_REGULATORY_FRAMEWORK;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_851_INTELLECTUAL_PROPERTY_RIGHTS;WB_1041_PATENTS;WB_1039_PROPERTY_LAWS_AND_REGULATIONS;EPU_CATS_REGULATION;WB_840_JUSTICE;TRIAL;EPU_ECONOMY_HISTORIC;TAX_FNCACT;TAX_FNCACT_MANUFACTURER;DISASTER_FIRE;TAX_FNCACT_CHIEF;TAX_FNCACT_CHIEF_JUSTICE;TAX_ECON_PRICE;TAX_FNCACT_ATTORNEY;LEGISLATION;TAX_MILITARY_TITLE;TAX_MILITARY_TITLE_OFFICER;TAX_FNCACT_OFFICER;SCIENCE;SOC_INNOVATION;WB_1042_TRADEMARKS;,"-1.50829562594269,4.07239819004525,5.58069381598793,9.65309200603318,23.2277526395173,0.301659125188537,604",justice john roberts;justice anthony kennedy;kathleen sullivan;andrew chung;noreen krall;justice elena kagan,"Justice John Roberts,2414;Justice Anthony Kennedy,1186;Kathleen Sullivan,2659;Andrew Chung,3753;Noreen Krall,2871;Justice Elena Kagan,1417",samsung electronics co ltd;u s court;samsung electronics co ltd galaxy;reuters;united states;supreme court;samsung;u s supreme court;apple inc,"Samsung Electronics Co Ltd,1728;Samsung Electronics Co Ltd,3659;Samsung Electronics Co Ltd Galaxy,1735;Reuters,98;United States,90;United States,3352;United States,3716;Supreme Court,187;Supreme Court,2706;Supreme Court,3578;Supreme Court,3695;Samsung,159;Samsung,383;Samsung,663;Samsung,1709;Samsung,1865;Samsung,1977;Samsung,2170;Samsung,2630;Samsung,2924;Samsung,3120;Samsung,3492;Samsung,3640;Samsung,3794;Apple Inc,3672"
yahoo.com,https://www.yahoo.com/news/apple-samsung-iphone-patent-feud-011329872.html,WB_845_LEGAL_AND_REGULATORY_FRAMEWORK;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_851_INTELLECTUAL_PROPERTY_RIGHTS;WB_1041_PATENTS;WB_1039_PROPERTY_LAWS_AND_REGULATIONS;EPU_CATS_REGULATION;WB_840_JUSTICE;TRIAL;EPU_ECONOMY_HISTORIC;TAX_FNCACT;TAX_FNCACT_MANUFACTURER;DISASTER_FIRE;TAX_FNCACT_CHIEF;TAX_FNCACT_CHIEF_JUSTICE;TAX_ECON_PRICE;TAX_FNCACT_ATTORNEY;LEGISLATION;TAX_MILITARY_TITLE;TAX_MILITARY_TITLE_OFFICER;TAX_FNCACT_OFFICER;SCIENCE;SOC_INNOVATION;WB_1042_TRADEMARKS;,"-1.50829562594269,4.07239819004525,5.58069381598793,9.65309200603318,23.2277526395173,0.301659125188537,604",justice john roberts;justice anthony kennedy;kathleen sullivan;andrew chung;noreen krall;justice elena kagan,"Justice John Roberts,2418;Justice Anthony Kennedy,1190;Kathleen Sullivan,2663;Andrew Chung,3757;Noreen Krall,2875;Justice Elena Kagan,1421",samsung electronics co ltd;u s court;samsung electronics co ltd galaxy;reuters;united states;supreme court;samsung;u s supreme court;apple inc,"Samsung Electronics Co Ltd,1732;Samsung Electronics Co Ltd,3663;Samsung Electronics Co Ltd Galaxy,1739;Reuters,100;United States,92;United States,3356;United States,3720;Supreme Court,189;Supreme Court,2710;Supreme Court,3582;Supreme Court,3699;Samsung,161;Samsung,387;Samsung,667;Samsung,1713;Samsung,1869;Samsung,1981;Samsung,2174;Samsung,2634;Samsung,2928;Samsung,3124;Samsung,3496;Samsung,3644;Samsung,3796;Apple Inc,3676"
yahoo.com,https://www.yahoo.com/tech/apple-samsung-iphone-patent-feud-leaves-u-top-011329442--finance.html,WB_845_LEGAL_AND_REGULATORY_FRAMEWORK;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_851_INTELLECTUAL_PROPERTY_RIGHTS;WB_1041_PATENTS;WB_1039_PROPERTY_LAWS_AND_REGULATIONS;EPU_CATS_REGULATION;WB_840_JUSTICE;TRIAL;EPU_ECONOMY_HISTORIC;TAX_FNCACT;TAX_FNCACT_MANUFACTURER;DISASTER_FIRE;TAX_FNCACT_CHIEF;TAX_FNCACT_CHIEF_JUSTICE;TAX_ECON_PRICE;TAX_FNCACT_ATTORNEY;LEGISLATION;TAX_MILITARY_TITLE;TAX_MILITARY_TITLE_OFFICER;TAX_FNCACT_OFFICER;SCIENCE;SOC_INNOVATION;WB_1042_TRADEMARKS;,"-1.22699386503068,4.14110429447853,5.3680981595092,9.50920245398773,23.0061349693252,0.306748466257669,594",justice john roberts;justice anthony kennedy;kathleen sullivan;andrew chung;noreen krall;justice elena kagan,"Justice John Roberts,2416;Justice Anthony Kennedy,1188;Kathleen Sullivan,2661;Andrew Chung,3755;Noreen Krall,2873;Justice Elena Kagan,1419",samsung electronics co ltd;u s court;samsung electronics co ltd galaxy;reuters;united states;supreme court;samsung;u s supreme court;apple inc,"Samsung Electronics Co Ltd,1730;Samsung Electronics Co Ltd,3661;Samsung Electronics Co Ltd Galaxy,1737;Reuters,100;United States,92;United States,3354;United States,3718;Supreme Court,189;Supreme Court,2708;Supreme Court,3580;Supreme Court,3697;Samsung,161;Samsung,385;Samsung,665;Samsung,1711;Samsung,1867;Samsung,1979;Samsung,2172;Samsung,2632;Samsung,2926;Samsung,3122;Samsung,3494;Samsung,3642;Apple Inc,3674"
rtb.gov.bn,http://www.rtbnews.rtb.gov.bn/index.php?option=com_content&view=article&id=39034:apple-samsung-iphone-patent-feud-leaves-us-top-court-struggling&catid=49:stock-markets&Itemid=68,WB_845_LEGAL_AND_REGULATORY_FRAMEWORK;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_851_INTELLECTUAL_PROPERTY_RIGHTS;WB_1041_PATENTS;WB_1039_PROPERTY_LAWS_AND_REGULATIONS;EPU_CATS_REGULATION;WB_840_JUSTICE;TRIAL;EPU_ECONOMY_HISTORIC;TAX_FNCACT;TAX_FNCACT_MANUFACTURER;DISASTER_FIRE;TAX_FNCACT_CHIEF;TAX_FNCACT_CHIEF_JUSTICE;TAX_ECON_PRICE;TAX_FNCACT_ATTORNEY;LEGISLATION;TAX_MILITARY_TITLE;TAX_MILITARY_TITLE_OFFICER;TAX_FNCACT_OFFICER;SCIENCE;SOC_INNOVATION;WB_1042_TRADEMARKS;,"-0.949367088607596,4.27215189873418,5.22151898734177,9.49367088607595,22.9430379746835,0.316455696202532,574",justice john roberts;justice anthony kennedy;kathleen sullivan;noreen krall;justice elena kagan,"Justice John Roberts,2313;Justice Anthony Kennedy,1085;Kathleen Sullivan,2558;Noreen Krall,2770;Justice Elena Kagan,1316",samsung electronics co ltd;u s court;samsung electronics co ltd galaxy;reuters;united states;supreme court;samsung;u s supreme court;apple inc,"Samsung Electronics Co Ltd,1627;Samsung Electronics Co Ltd,3558;Samsung Electronics Co Ltd Galaxy,1634;Reuters,3636;United States,3251;United States,3615;Supreme Court,86;Supreme Court,2605;Supreme Court,3477;Supreme Court,3594;Samsung,58;Samsung,282;Samsung,562;Samsung,1608;Samsung,1764;Samsung,1876;Samsung,2069;Samsung,2529;Samsung,2823;Samsung,3019;Samsung,3391;Samsung,3539;Apple Inc,3571"
finance.indiaeveryday.in,http://finance.indiaeveryday.in/news-apple-to-set-up-rd-centre-in-shenzhen-bolster-china-ties-1023-2752395.htm,TAX_FNCACT;TAX_FNCACT_CHILDREN;EPU_ECONOMY_HISTORIC;TAX_RELIGION;TAX_RELIGION_HINDU;TAX_ETHNICITY;TAX_ETHNICITY_HINDU;WB_1921_PRIVATE_SECTOR_DEVELOPMENT;WB_346_COMPETITIVE_INDUSTRIES;WB_818_INDUSTRY_POLICY_AND_REAL_SECTORS;WB_1281_MANUFACTURING;URBAN;USPEC_POLICY1;EPU_ECONOMY;,"4.48717948717949,4.48717948717949,0,4.48717948717949,30.1282051282051,0.641025641025641,132",,,hindu business line apple inc,"Hindu Business Line Apple Inc,382"
channelnewsasia.com,http://www.channelnewsasia.com/news/business/international/apple-to-set-up-r-d-center-in-shenzhen-bolster-china-ties/3199422.html,WB_1921_PRIVATE_SECTOR_DEVELOPMENT;WB_346_COMPETITIVE_INDUSTRIES;WB_818_INDUSTRY_POLICY_AND_REAL_SECTORS;WB_1281_MANUFACTURING;URBAN;USPEC_POLICY1;EPU_ECONOMY;EPU_ECONOMY_HISTORIC;TAX_FNCACT;TAX_FNCACT_CHIEF;TAX_FNCACT_EXECUTIVE;TAX_FNCACT_CHIEF_EXECUTIVE;TAX_FNCACT_COOK;TAX_FNCACT_OFFICIALS;TAX_ETHNICITY;TAX_ETHNICITY_CHINESE;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_CHINESE;SCIENCE;SOC_INNOVATION;TAX_FNCACT_SPOKESMAN;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITIES;UNGP_FORESTS_RIVERS_OCEANS;,"3.37837837837838,4.05405405405405,0.675675675675676,4.72972972972973,20.9459459459459,1.35135135135135,275",sijia jiang;josh rosenstock;terry gou;august cook;tim cook,"Sijia Jiang,1793;Josh Rosenstock,1040;Terry Gou,1521;August Cook,1625;Tim Cook,598",apple inc,"Apple Inc,88"
wthitv.com,http://wthitv.com/2016/10/15/apple-harvest-season-booming-for-businesses/,AGRICULTURE;EPU_ECONOMY_HISTORIC;TAX_FNCACT;TAX_FNCACT_FARMER;UNGP_FORESTS_RIVERS_OCEANS;WB_476_GREEN_GROWTH;WB_471_ECONOMIC_GROWTH;WB_1100_SUSTAINABLE_GROWTH;USPEC_POLITICS_GENERAL1;,"6.10687022900763,6.10687022900763,0,6.10687022900763,21.1195928753181,1.01781170483461,313",steve tennes;paul kania;alysia burgio,"Steve Tennes,521;Paul Kania,497;Alysia Burgio,13",michigan apple committee,"Michigan Apple Committee,1953"
scmp.com,http://www.scmp.com/tech/china-tech/article/2027357/apple-open-shenzhen-rd-centre-tap-citys-talent-pool-write-software,EPU_ECONOMY;EPU_ECONOMY_HISTORIC;MEDIA_MSM;TAX_FNCACT;TAX_FNCACT_CEO;TAX_FNCACT_COOK;SEIZE;SCIENCE;ECON_WORLDCURRENCIES;ECON_WORLDCURRENCIES_YUAN;TAX_ETHNICITY;TAX_ETHNICITY_CHINESE;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_CHINESE;SOC_INNOVATION;USPEC_POLITICS_GENERAL1;TAX_FNCACT_SECRETARY;LEADER;TAX_FNCACT_MAYOR;WB_1921_PRIVATE_SECTOR_DEVELOPMENT;WB_346_COMPETITIVE_INDUSTRIES;WB_818_INDUSTRY_POLICY_AND_REAL_SECTORS;WB_1281_MANUFACTURING;WB_286_TELECOMMUNICATIONS_AND_BROADBAND_ACCESS;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;TAX_FNCACT_DIRECTORS;EPU_POLICY;EPU_POLICY_REGULATORY;,"2.42718446601942,2.66990291262136,0.242718446601942,2.9126213592233,23.7864077669903,0.728155339805825,388",ma xingrui;tim cook;xu qin,"Ma Xingrui,1265;Tim Cook,361;Tim Cook,1980;Xu Qin,1280",national public innovation week;zhongguancun science park administrative authority;apple inc,"National Public Innovation Week,1180;Apple Inc,92"
yahoo.com,https://ca.finance.yahoo.com/news/apple-set-r-d-center-shenzhen-bolster-china-041237542--finance.html,WB_1921_PRIVATE_SECTOR_DEVELOPMENT;WB_346_COMPETITIVE_INDUSTRIES;WB_818_INDUSTRY_POLICY_AND_REAL_SECTORS;WB_1281_MANUFACTURING;URBAN;USPEC_POLICY1;EPU_ECONOMY;EPU_ECONOMY_HISTORIC;TAX_FNCACT;TAX_FNCACT_CHIEF;TAX_FNCACT_EXECUTIVE;TAX_FNCACT_CHIEF_EXECUTIVE;TAX_FNCACT_COOK;TAX_FNCACT_OFFICIALS;TAX_ETHNICITY;TAX_ETHNICITY_CHINESE;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_CHINESE;SCIENCE;SOC_INNOVATION;TAX_FNCACT_SPOKESMAN;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITIES;UNGP_FORESTS_RIVERS_OCEANS;,"3.47003154574133,4.10094637223975,0.630914826498423,4.73186119873817,21.4511041009464,1.26182965299685,289",sijia jiang;josh rosenstock;terry gou;august cook;tim cook,"Sijia Jiang,1734;Josh Rosenstock,981;Terry Gou,1462;August Cook,1566;Tim Cook,539",apple inc;reuters,"Apple Inc,29;Reuters,17"
yahoo.com,https://www.yahoo.com/news/apple-set-r-d-centre-040623855.html,WB_1921_PRIVATE_SECTOR_DEVELOPMENT;WB_346_COMPETITIVE_INDUSTRIES;WB_818_INDUSTRY_POLICY_AND_REAL_SECTORS;WB_1281_MANUFACTURING;URBAN;USPEC_POLICY1;EPU_ECONOMY;EPU_ECONOMY_HISTORIC;TAX_FNCACT;TAX_FNCACT_CHIEF;TAX_FNCACT_EXECUTIVE;TAX_FNCACT_CHIEF_EXECUTIVE;TAX_FNCACT_COOK;TAX_FNCACT_OFFICIALS;TAX_ETHNICITY;TAX_ETHNICITY_CHINESE;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_CHINESE;SCIENCE;SOC_INNOVATION;TAX_FNCACT_SPOKESMAN;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITIES;UNGP_FORESTS_RIVERS_OCEANS;,"3.60655737704918,4.26229508196721,0.655737704918033,4.91803278688525,21.9672131147541,1.31147540983607,289",sijia jiang;josh rosenstock;terry gou;august cook;tim cook,"Sijia Jiang,1777;Josh Rosenstock,1036;Terry Gou,1505;August Cook,1609;Tim Cook,606",apple inc;reuters,"Apple Inc,96;Reuters,84"
