Week,Average,Two-Week Average,One-Month Average,Two-Month Moving Average,Weekly Average Diff From Base,Two-Week Average Diff From Base,One-Month Average Diff From Base,Two-Month Average Diff From Base,PxCh,Base Sentiment,0.738305
2/18/2015,0.978178174,,,,0.239873174,,,,,,
2/25/2015,0.220608386,0.59939328,,,-0.517696614,-0.13891172,,,,,
3/4/2015,0.457028569,0.338818477,,,-0.281276431,-0.399486523,,,,,
3/11/2015,1.996110315,1.226569442,0.912981361,,1.257805315,0.488264442,0.174676361,,,,
3/18/2015,0.479060107,1.237585211,0.788201844,,-0.259244893,0.499280211,0.049896844,,,,
3/25/2015,1.010403014,0.744731561,0.985650501,,0.272098014,0.006426561,0.247345501,,,,
4/1/2015,2.115898793,1.563150904,1.400368057,,1.377593793,0.824845904,0.662063057,,,,
4/8/2015,1.417461166,1.76667998,1.25570577,1.084343566,0.679156166,1.02837498,0.51740077,0.346038566,,,
4/15/2015,1.21630807,1.316884618,1.440017761,1.114109802,0.47800307,0.578579618,0.701712761,0.375804802,,,
4/22/2015,0.455262237,0.835785153,1.301232566,1.143441534,-0.283042763,0.097480153,0.562927566,0.405136534,,,
4/29/2015,1.173801915,0.814532076,1.065708347,1.233038202,0.435496915,0.076227076,0.327403347,0.494733202,,,
5/6/2015,1.07425167,1.124026792,0.979905973,1.117805872,0.33594667,0.385721792,0.241600973,0.379500872,,,
5/13/2015,1.212478848,1.143365259,0.978948667,1.209483214,0.474173848,0.405060259,0.240643667,0.471178214,,,
5/20/2015,0.957108827,1.084793838,1.104410315,1.202821441,0.218803827,0.346488838,0.366105315,0.464516441,,,
5/27/2015,0.699792557,0.828450692,0.985907975,1.025808161,-0.038512443,0.090145692,0.247602975,0.287503161,,,
6/3/2015,1.020456062,0.860124309,0.972459073,0.976182523,0.282151062,0.121819309,0.234154073,0.237877523,,,
6/10/2015,0.69568157,0.858068816,0.843259754,0.911104211,-0.04262343,0.119763816,0.104954754,0.172799211,,,
6/17/2015,0.937712296,0.816696933,0.838410621,0.971410468,0.199407296,0.078391933,0.100105621,0.233105468,,,
6/24/2015,1.407655477,1.172683887,1.015376351,1.000642163,0.669350477,0.434378887,0.277071351,0.262337163,,,
7/1/2015,1.172546386,1.290100931,1.053398932,1.012929003,0.434241386,0.551795931,0.315093932,0.274624003,,,
7/8/2015,0.874242433,1.02339441,1.098039148,0.970649451,0.135937433,0.28508941,0.359734148,0.232344451,,,
7/15/2015,0.962836789,0.918539611,1.104320271,0.971365446,0.224531789,0.180234611,0.366015271,0.233060446,,,
7/22/2015,1.564702136,1.263769462,1.143581936,1.079479144,0.826397136,0.525464462,0.405276936,0.341174144,,,
7/29/2015,1.339309968,1.452006052,1.185272831,1.119335882,0.601004968,0.713701052,0.446967831,0.381030882,,,
8/5/2015,0.420186618,0.879748293,1.071758877,1.084899013,-0.318118382,0.141443293,0.333453877,0.346594013,,,
8/12/2015,0.212667934,0.316427276,0.884216664,0.994268467,-0.525637066,-0.421877724,0.145911664,0.255963467,,,
8/19/2015,1.49656467,0.854616302,0.867182297,1.005382117,0.75825967,0.116311302,0.128877297,0.267077117,,,
8/26/2015,0.751199391,1.123882031,0.720154653,0.952713742,0.012894391,0.385577031,-0.018150347,0.214408742,,,
9/2/2015,1.724660994,1.237930192,1.046273247,1.059016062,0.986355994,0.499625192,0.307968247,0.320711062,,,
9/9/2015,0.895197819,1.309929407,1.216905719,1.050561191,0.156892819,0.571624407,0.478600719,0.312256191,,,
9/16/2015,2.713034725,1.804116272,1.521023232,1.194102765,1.974729725,1.065811272,0.782718232,0.455797765,,,
9/23/2015,2.534080959,2.623557842,1.966743624,1.343449139,1.795775959,1.885252842,1.228438624,0.605144139,,,
9/30/2015,1.885560687,2.209820823,2.006968548,1.526620897,1.147255687,1.471515823,1.268663548,0.788315897,,,
10/7/2015,1.794732945,1.840146816,2.231852329,1.724379024,1.056427945,1.101841816,1.493547329,0.986074024,,,
10/14/2015,1.337947168,1.566340056,1.88808044,1.704551836,0.599642168,0.828035056,1.14977544,0.966246836,,,
10/21/2015,1.748860691,1.54340393,1.691775373,1.829259498,1.010555691,0.80509893,0.953470373,1.090954498,,,
10/28/2015,1.283116899,1.515988795,1.541164426,1.774066487,0.544811899,0.777683795,0.802859426,1.035761487,,,
11/4/2015,1.986504834,1.634810867,1.589107398,1.910479864,1.248199834,0.896505867,0.850802398,1.172174864,,,
11/11/2015,1.2386585,1.612581667,1.564285231,1.726182835,0.5003535,0.874276667,0.825980231,0.987877835,,,
11/18/2015,0.944535781,1.09159714,1.363204004,1.527489688,0.206230781,0.35329214,0.624899004,0.789184688,,,
11/25/2015,0.761516829,0.853026305,1.232803986,1.386984206,0.023211829,0.114721305,0.494498986,0.648679206,,,
12/2/2015,1.680270204,1.220893517,1.156245329,1.372676363,0.941965204,0.482588517,0.417940329,0.634371363,,,
12/9/2015,1.377223293,1.528746748,1.190886527,1.377585879,0.638918293,0.790441748,0.452581527,0.639280879,,,
12/16/2015,1.289366835,1.333295064,1.27709429,1.320149147,0.551061835,0.594990064,0.53878929,0.581844147,,,
12/23/2015,1.344297697,1.316832266,1.422789507,1.327796747,0.605992697,0.578527266,0.684484507,0.589491747,,,
12/30/2015,1.284493899,1.314395798,1.323845431,1.24004538,0.546188899,0.576090798,0.585540431,0.50174038,,,
1/6/2016,0.88264609,1.083569994,1.20020113,1.195543828,0.14434109,0.345264994,0.46189613,0.457238828,,,
1/13/2016,0.98572994,0.934188015,1.124291906,1.200693098,0.24742494,0.195883015,0.385986906,0.462388098,,,
1/20/2016,1.365562227,1.175646083,1.129608039,1.276198773,0.627257227,0.437341083,0.391303039,0.537893773,,,
1/27/2016,1.2739862,1.319774214,1.126981114,1.225413273,0.5356812,0.581469214,0.388676114,0.487108273,,,
2/3/2016,0.615502231,0.944744216,1.06019515,1.13019814,-0.122802769,0.206439216,0.32189015,0.39189314,,,
2/10/2016,0.538500946,0.577001588,0.948387901,1.036339904,-0.199804054,-0.161303412,0.210082901,0.298034904,,,
2/17/2016,1.595275026,1.066887986,1.005816101,1.06771207,0.856970026,0.328582986,0.267511101,0.32940707,,,
2/24/2016,0.610330894,1.10280296,0.839902274,0.983441694,-0.127974106,0.36449796,0.101597274,0.245136694,,,
3/2/2016,1.476546963,1.043438929,1.055163457,1.057679303,0.738241963,0.305133929,0.316858457,0.319374303,,,
3/9/2016,0.856534999,1.166540981,1.134671971,1.041529936,0.118229999,0.428235981,0.396366971,0.303224936,,,
3/16/2016,0.689923893,0.773229446,0.908334187,0.957075144,-0.048381107,0.034924446,0.170029187,0.218770144,,,
3/23/2016,1.311376429,1.000650161,1.083595571,0.961748923,0.573071429,0.262345161,0.345290571,0.223443923,,,
3/30/2016,1.031835384,1.171605906,0.972417676,1.013790567,0.293530384,0.433300906,0.234112676,0.275485567,,,
4/6/2016,0.467096407,0.749465895,0.875058028,1.004864999,-0.271208593,0.011160895,0.136753028,0.266559999,,,
4/13/2016,0.525218433,0.49615742,0.833881663,0.871107925,-0.213086567,-0.24214758,0.095576663,0.132802925,,,
4/20/2016,0.691223212,0.608220823,0.678843359,0.881219465,-0.047081788,-0.130084177,-0.059461641,0.142914465,,,
4/27/2016,1.387039249,1.039131231,0.767644325,0.870031001,0.648734249,0.300826231,0.029339325,0.131726001,,,
5/4/2016,1.170995246,1.279017247,0.943619035,0.909338532,0.432690246,0.540712247,0.205314035,0.171033532,,,
5/11/2016,1.120908541,1.145951893,1.092541562,0.963211613,0.382603541,0.407646893,0.354236562,0.224906613,,,
5/18/2016,1.427903267,1.274405904,1.276711576,0.977777467,0.689598267,0.536100904,0.538406576,0.239472467,,,
5/25/2016,1.372194633,1.40004895,1.273000422,1.020322373,0.633889633,0.66174395,0.534695422,0.282017373,,,
6/1/2016,-0.553832518,0.409181057,0.841793481,0.892706258,-1.292137518,-0.329123943,0.103488481,0.154401258,,,
6/8/2016,1.259967561,0.353067522,0.876558236,0.984549899,0.521662561,-0.385237478,0.138253236,0.246244899,,,
6/15/2016,2.465807572,1.862887567,1.136034312,1.206372944,1.727502572,1.124582567,0.397729312,0.468067944,,,
6/22/2016,1.559889051,2.012848311,1.182957916,1.227979169,0.821584051,1.274543311,0.444652916,0.489674169,,,
6/29/2016,1.236356075,1.398122563,1.630505065,1.236149273,0.498051075,0.659817563,0.892200065,0.497844273,,,
7/6/2016,1.013494674,1.124925374,1.568886843,1.222722539,0.275189674,0.386620374,0.830581843,0.484417539,,,
7/13/2016,1.617376012,1.315435343,1.356778953,1.246406632,0.879071012,0.577130343,0.618473953,0.508101632,,,
7/20/2016,1.241826985,1.429601498,1.277263436,1.230110676,0.503521985,0.691296498,0.538958436,0.491805676,,,
7/27/2016,1.787686868,1.514756926,1.415096135,1.5228006,1.049381868,0.776451926,0.676791135,0.7844956,,,
