v2tone,sourcecommonname,themes,date,ECON,ENV,SOCIAL,LEGAL,LEAD,year,month,day,date format
0.168350168,madison.com,ECON_STOCKMARKET;,2.01703E+13,1,0,0,0,0,2017,03,19,3/19/17 19:15
4.096385542,watchlistnews.com,TAX_FNCACT;TAX_FNCACT_INVESTOR;,2.01607E+13,0,0,0,0,0,2016,07,24,7/24/16 15:45
3.225806452,rttnews.com,TAX_FNCACT;TAX_FNCACT_ANALYSTS;TAX_FNCACT_ANALYST;EPU_ECONOMY_HISTORIC;LEADER;TAX_FNCACT_PRESIDENT;USPEC_POLITICS_GENERAL1;,2.01607E+13,0,0,0,0,1,2016,07,20,7/20/16 9:00
0.714285714,cbronline.com,EPU_ECONOMY_HISTORIC;TAX_FNCACT;TAX_FNCACT_MANUFACTURER;,2.01607E+13,0,0,0,0,0,2016,07,20,7/20/16 8:00
-0.403225806,nasdaq.com,ECON_STOCKMARKET;,2.01703E+13,1,0,0,0,0,2017,03,19,3/19/17 19:00
0.164473684,wgmd.com,ECON_STOCKMARKET;,2.01703E+13,1,0,0,0,0,2017,03,19,3/19/17 19:00
0.324675325,foxbusiness.com,ECON_STOCKMARKET;,2.01703E+13,1,0,0,0,0,2017,03,19,3/19/17 19:00
-0.970873786,mrtopstep.com,ECON_STOCKMARKET;WB_698_TRADE;,2.01606E+13,1,0,0,0,0,2016,06,25,6/25/16 7:45
2.592592593,finanznachrichten.de,,2.01606E+13,0,0,0,0,0,2016,06,25,6/25/16 16:15
1.74563591,valuewalk.com,TAX_FNCACT;TAX_FNCACT_ANALYSTS;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_POLARIS;TAX_ECON_PRICE;ECON_STOCKMARKET;EPU_CATS_MIGRATION_FEAR_FEAR;TECH_VIRTUALREALITY;,2.01607E+13,1,0,0,0,0,2016,07,20,7/20/16 23:45
5.533596838,finanznachrichten.de,ECON_STOCKMARKET;EPU_ECONOMY_HISTORIC;TAX_FNCACT;TAX_FNCACT_ANALYSTS;,2.01607E+13,1,0,0,0,0,2016,07,20,7/20/16 11:30
0.732600733,thestreet.com,WB_698_TRADE;TAX_FNCACT;TAX_FNCACT_ANALYST;TAX_ECON_PRICE;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_POLARIS;WB_1921_PRIVATE_SECTOR_DEVELOPMENT;WB_405_BUSINESS_CLIMATE;WB_2531_INSPECTIONS_LICENSING_AND_PERMITS;WB_2530_BUSINESS_ENVIRONMENT;ECON_STOCKMARKET;,2.01607E+13,1,0,0,0,0,2016,07,23,7/23/16 22:30
3.278688525,jutiagroup.com,,2.01606E+13,0,0,0,0,0,2016,06,26,6/26/16 11:15
-0.630517024,nasdaq.com,TAX_FNCACT;TAX_FNCACT_FOOL;ECON_STOCKMARKET;EPU_ECONOMY_HISTORIC;WB_698_TRADE;WB_290_TELECOMMUNICATIONS_ORGANIZATIONAL_DESIGN;WB_288_TELECOMMUNICATIONS_SECTOR_POLICY_AND_REGULATION;WB_286_TELECOMMUNICATIONS_AND_BROADBAND_ACCESS;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;WB_1104_MACROECONOMIC_VULNERABILITY_AND_DEBT;WB_450_DEBT;ECON_DEBT;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_POLARIS;TAX_ECON_PRICE;TAX_ETHNICITY;TAX_ETHNICITY_DUTCH;TAX_WORLDLANGUAGES_DUTCH;AGRICULTURE;EXTREMISM;CRISISLEX_C07_SAFETY;WB_678_DIGITAL_GOVERNMENT;WB_670_ICT_SECURITY;WB_2370_DATA_SECURITY;WB_615_GENDER;WB_919_GENDER_AND_HUMAN_DEVELOPMENT;WB_1466_SOCIAL_ASSISTANCE;WB_921_SAFETY_NETS;WB_697_SOCIAL_PROTECTION_AND_LABOR;TAX_FNCACT_LEADER;TAX_FNCACT_ANALYSTS;WB_2433_CONFLICT_AND_VIOLENCE;WB_2465_REVOLUTIONARY_VIOLENCE;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;WB_2462_POLITICAL_VIOLENCE_AND_WAR;USPEC_POLICY1;EPU_POLICY;EPU_POLICY_POLICY;TAX_FNCACT_AUTHOR;,2.01607E+13,1,0,0,0,1,2016,07,18,7/18/16 18:15
0.222222222,bizjournals.com,TAX_FNCACT;TAX_FNCACT_REPORTER;LEADER;,2.01608E+13,0,0,0,0,1,2016,08,03,8/3/16 20:15
1.140350877,512tech.com,,2.01607E+13,0,0,0,0,0,2016,07,22,7/22/16 21:45
1.369863014,newsoracle.com,TAX_ECON_PRICE;ECON_STOCKMARKET;WB_1150_VOLATILITY;WB_1104_MACROECONOMIC_VULNERABILITY_AND_DEBT;WB_698_TRADE;TAX_FNCACT;TAX_FNCACT_ANALYSTS;,2.01606E+13,1,0,0,0,0,2016,06,28,6/28/16 3:15
1.731601732,finanznachrichten.de,WB_698_TRADE;EPU_CATS_REGULATION;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_SICH;KILL;CRISISLEX_T03_DEAD;ECON_STOCKMARKET;,2.01607E+13,1,0,0,0,0,2016,07,22,7/22/16 17:30
1.524390244,yahoo.com,,2.01607E+13,0,0,0,0,0,2016,07,22,7/22/16 15:45
1.13735783,prnewswire.com,SOC_TECHNOLOGYSECTOR;ECON_STOCKMARKET;WB_698_TRADE;EPU_ECONOMY_HISTORIC;ECON_FREETRADE;TAX_FNCACT;TAX_FNCACT_ANALYST;TAX_FNCACT_WRITER;TAX_FNCACT_AUTHOR;USPEC_POLITICS_GENERAL1;WB_2024_ANTI_CORRUPTION_AUTHORITIES;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_840_JUSTICE;WB_2025_INVESTIGATION;WB_831_GOVERNANCE;WB_832_ANTI_CORRUPTION;WB_1014_CRIMINAL_JUSTICE;VETO;USPEC_UNCERTAINTY1;TAX_FNCACT_ADVISER;WB_845_LEGAL_AND_REGULATORY_FRAMEWORK;WB_851_INTELLECTUAL_PROPERTY_RIGHTS;WB_1042_TRADEMARKS;WB_1039_PROPERTY_LAWS_AND_REGULATIONS;MEDIA_MSM;MEDIA_SOCIAL;,2.01606E+13,1,0,0,0,0,2016,06,20,6/20/16 19:45
2.818791946,gurufocus.com,ECON_STOCKMARKET;TAX_FNCACT;TAX_FNCACT_ANALYSTS;EPU_CATS_MIGRATION_FEAR_MIGRATION;EPU_ECONOMY_HISTORIC;TAX_FNCACT_CEO;UNGP_FORESTS_RIVERS_OCEANS;TAX_FNCACT_INVESTOR;TAX_ECON_PRICE;INFRASTRUCTURE_BAD_ROADS;CRISISLEX_C04_LOGISTICS_TRANSPORT;UNGP_TRANSPORTATION_ROADS;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_POLARIS;GENERAL_HEALTH;MEDICAL;TAX_FNCACT_CFO;WB_1160_SHOCKS_AND_VULNERABILITY;WB_695_POVERTY;CRISISLEX_T11_UPDATESSYMPATHY;TRIAL;MEDIA_SOCIAL;,2.01607E+13,1,0,0,1,0,2016,07,28,7/28/16 20:15
3.4375,finanznachrichten.de,,2.01606E+13,0,0,0,0,0,2016,06,29,6/29/16 14:00
0,rttnews.com,WB_698_TRADE;EPU_POLICY;EPU_POLICY_WHITE_HOUSE;UNGP_FORESTS_RIVERS_OCEANS;ENV_CLIMATECHANGE;WB_567_CLIMATE_CHANGE;CRISISLEX_CRISISLEXREC;UNGP_CLIMATE_CHANGE_ACTION;WB_1458_HEALTH_PROMOTION_AND_DISEASE_PREVENTION;WB_1462_WATER_SANITATION_AND_HYGIENE;WB_635_PUBLIC_HEALTH;WB_621_HEALTH_NUTRITION_AND_POPULATION;GENERAL_GOVERNMENT;EPU_POLICY_GOVERNMENT;EPU_ECONOMY_HISTORIC;TAX_ECON_PRICE;ECON_GASOLINEPRICE;ECON_HEATINGOIL;TAX_ETHNICITY;TAX_ETHNICITY_AMERICAN;,2.01607E+13,0,1,0,0,0,2016,07,22,7/22/16 19:30
3.185437998,watchlistnews.com,EDUCATION;TAX_FNCACT;TAX_FNCACT_MANUFACTURER;,2.01606E+13,0,0,0,0,0,2016,06,24,6/24/16 19:00
-0.36036036,investors.com,TAX_FNCACT;TAX_FNCACT_ANALYSTS;WB_698_TRADE;ECON_STOCKMARKET;TAX_FNCACT_ANALYST;TAX_ECON_PRICE;TAX_FNCACT_INCUMBENT;TAX_FNCACT_LEADER;WB_678_DIGITAL_GOVERNMENT;WB_2944_SERVERS;WB_671_STORAGE_MANAGEMENT;WB_667_ICT_INFRASTRUCTURE;WB_672_NETWORK_MANAGEMENT;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;,2.01607E+13,1,0,0,0,1,2016,07,08,7/8/16 18:30
1.075268817,jutiagroup.com,ECON_STOCKMARKET;SOC_TECHNOLOGYSECTOR;EPU_ECONOMY_HISTORIC;MEDIA_SOCIAL;EPU_CATS_REGULATION;,2.01606E+13,1,0,0,0,0,2016,06,22,6/22/16 7:15
1.385681293,pc-tablet.co.in,,2.01607E+13,0,0,0,0,0,2016,07,29,7/29/16 13:45
-1.400233372,foxbusiness.com,ECON_STOCKMARKET;TAX_FNCACT;TAX_FNCACT_FOOL;TAX_ECON_PRICE;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_POLARIS;CRISISLEX_T11_UPDATESSYMPATHY;WB_678_DIGITAL_GOVERNMENT;WB_2944_SERVERS;WB_671_STORAGE_MANAGEMENT;WB_667_ICT_INFRASTRUCTURE;WB_672_NETWORK_MANAGEMENT;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;UNGP_CRIME_VIOLENCE;WB_1921_PRIVATE_SECTOR_DEVELOPMENT;WB_346_COMPETITIVE_INDUSTRIES;WB_818_INDUSTRY_POLICY_AND_REAL_SECTORS;WB_1281_MANUFACTURING;DELAY;USPEC_UNCERTAINTY1;CRISISLEX_C04_LOGISTICS_TRANSPORT;USPEC_POLICY1;EPU_POLICY;EPU_POLICY_POLICY;EPU_CATS_REGULATION;,2.01606E+13,1,0,0,0,0,2016,06,22,6/22/16 16:30
2.040816327,journaltranscript.com,,2.01607E+13,0,0,0,0,0,2016,07,22,7/22/16 15:45
1.038575668,247wallst.com,,2.01607E+13,0,0,0,0,0,2016,07,21,7/21/16 17:45
6.504065041,finanznachrichten.de,ECON_STOCKMARKET;ARMEDCONFLICT;TECH_VIRTUALREALITY;TAX_FNCACT;TAX_FNCACT_ANALYST;TAX_ECON_PRICE;MARITIME;,2.01606E+13,1,0,0,0,0,2016,06,18,6/18/16 14:30
3.745318352,dailypolitical.com,TAX_FNCACT;TAX_FNCACT_MANUFACTURER;,2.01607E+13,0,0,0,0,0,2016,07,11,7/11/16 11:45
1.694915254,analystratings.com,,2.01607E+13,0,0,0,0,0,2016,07,22,7/22/16 15:45
0.7023705,wccftech.com,EPU_ECONOMY_HISTORIC;TAX_FNCACT;TAX_FNCACT_EDITOR;AFFECT;EPU_ECONOMY;WB_471_ECONOMIC_GROWTH;ECON_STOCKMARKET;BORDER;LEGISLATION;EPU_POLICY;EPU_POLICY_LAW;MARITIME;TAX_FNCACT_KILLER;UNGP_FORESTS_RIVERS_OCEANS;TAX_ETHNICITY;TAX_ETHNICITY_CHINESE;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_CHINESE;WB_678_DIGITAL_GOVERNMENT;WB_2944_SERVERS;WB_671_STORAGE_MANAGEMENT;WB_667_ICT_INFRASTRUCTURE;WB_672_NETWORK_MANAGEMENT;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;WB_1921_PRIVATE_SECTOR_DEVELOPMENT;WB_405_BUSINESS_CLIMATE;WB_2531_INSPECTIONS_LICENSING_AND_PERMITS;WB_2530_BUSINESS_ENVIRONMENT;ECON_TAXATION;USPEC_POLICY1;EPU_POLICY_TAX;EPU_CATS_TAXES;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_713_PUBLIC_FINANCE;WB_718_PUBLIC_INVESTMENT_MANAGEMENT;TAX_ECON_PRICE;WB_1979_NATURAL_RESOURCE_MANAGEMENT;WB_435_AGRICULTURE_AND_FOOD_SECURITY;WB_1986_MOUNTAINS;ECON_DEBT;WB_1104_MACROECONOMIC_VULNERABILITY_AND_DEBT;WB_450_DEBT;WB_137_WATER;,2.01607E+13,1,0,0,1,0,2016,07,16,7/16/16 23:15
3.87275242,dailypolitical.com,,2.01607E+13,0,0,0,0,0,2016,07,10,7/10/16 10:45
1.372997712,newsoracle.com,TAX_ECON_PRICE;ECON_STOCKMARKET;WB_1150_VOLATILITY;WB_1104_MACROECONOMIC_VULNERABILITY_AND_DEBT;WB_698_TRADE;TAX_FNCACT;TAX_FNCACT_ANALYSTS;,2.01607E+13,1,0,0,0,0,2016,07,13,7/13/16 14:45
1.40491721,forbes.com,,2.01606E+13,0,0,0,0,0,2016,06,29,6/29/16 15:30
