Week,Average,Two-Week Average,One-Month Average,Two-Month Moving Average,Weekly Average Diff From Base,Two-Week Average Diff From Base,One-Month Average Diff From Base,Two-Month Average Diff From Base,PxCh,Base Sentiment,1.1803564
2/18/2015,1.377726751,,,,0.197370351,,,,,,
3/2/2015,-0.788540174,0.294593289,,,-1.968896574,-0.885763112,,,,,
3/10/2015,0.032934425,-0.377802875,,,-1.147421976,-1.558159275,,,,,
3/17/2015,0.795385222,0.414159823,0.354376556,,-0.384971178,-0.766196577,-0.825979844,,,,
3/24/2015,-0.295527734,0.249928744,-0.063937065,,-1.475884134,-0.930427656,-1.244293465,,,,
3/31/2015,-1.031425035,-0.663476384,-0.12465828,,-2.211781435,-1.843832784,-1.30501468,,,,
4/7/2015,0.899657008,-0.065884014,0.092022365,,-0.280699393,-1.246240414,-1.088334035,,,,
4/15/2015,0.278129185,0.588893096,-0.037291644,0.158542456,-0.902227215,-0.591463304,-1.217648044,-1.021813944,,,
4/22/2015,0.31323123,0.295680208,0.114898097,0.025480516,-0.86712517,-0.884676192,-1.065458303,-1.154875884,,,
4/29/2015,0.799357671,0.556294451,0.572593774,0.223967747,-0.380998729,-0.624061949,-0.607762626,-0.956388653,,,
5/7/2015,1.47692193,1.1381398,0.716910004,0.404466185,0.29656553,-0.0422166,-0.463446396,-0.775890215,,,
5/14/2015,1.2582825,1.367602215,0.961948333,0.462328344,0.0779261,0.187245815,-0.218408067,-0.718028056,,,
5/22/2015,1.784139674,1.521211087,1.329675443,0.72228677,0.603783274,0.340854687,0.149319043,-0.45806963,,,
5/29/2015,1.894382029,1.839260851,1.603431533,1.088012653,0.714025629,0.658904451,0.423075133,-0.092343747,,,
6/8/2015,1.252000114,1.573191072,1.547201079,1.132055542,0.071643714,0.392834671,0.366844679,-0.048300858,,,
6/15/2015,0.223285323,0.737642719,1.288451785,1.125200059,-0.957071077,-0.442713681,0.108095385,-0.055156341,,,
6/22/2015,-0.086921308,0.068182008,0.82068654,1.075180991,-1.267277708,-1.112174392,-0.35966986,-0.105175409,,,
6/30/2015,0.57802016,0.245549426,0.491596072,1.047513803,-0.60233624,-0.934806974,-0.688760328,-0.132842597,,,
7/7/2015,-0.268307214,0.154856473,0.11151924,0.82936016,-1.448663614,-1.025499927,-1.06883716,-0.35099624,,,
7/14/2015,0.892306302,0.311999544,0.278774485,0.783613135,-0.288050098,-0.868356856,-0.901581915,-0.396743265,,,
7/21/2015,0.286089722,0.589198012,0.372027242,0.596356891,-0.894266679,-0.591158388,-0.808329158,-0.583999509,,,
7/28/2015,1.548031354,0.917060538,0.614530041,0.553063056,0.367674954,-0.263295862,-0.565826359,-0.627293344,,,
8/4/2015,0.295688044,0.921859699,0.755528855,0.433524048,-0.884668356,-0.258496701,-0.424827545,-0.746832352,,,
8/12/2015,2.367253544,1.331470794,1.124265666,0.701520075,1.186897144,0.151114394,-0.056090734,-0.478836325,,,
8/19/2015,0.625236345,1.496244945,1.209052322,0.790539782,-0.555120055,0.315888545,0.028695922,-0.389816618,,,
8/26/2015,1.649881963,1.137559154,1.234514974,0.924522508,0.469525563,-0.042797246,0.054158574,-0.255833892,,,
9/2/2015,2.207444156,1.92866306,1.712454002,1.233991429,1.027087756,0.74830666,0.532097602,0.053635029,,,
9/9/2015,1.326292545,1.76686835,1.452213752,1.288239709,0.145936145,0.58651195,0.271857352,0.107883309,,,
9/16/2015,1.663260895,1.49477672,1.71171989,1.460386106,0.482904495,0.31442032,0.53136349,0.280029706,,,
9/23/2015,1.440027682,1.551644289,1.659256319,1.446885647,0.259671282,0.371287889,0.478899919,0.266529247,,,
9/30/2015,0.546623439,0.993325561,1.24405114,1.478252571,-0.633732961,-0.187030839,0.06369474,0.297896171,,,
10/7/2015,2.587269056,1.566946247,1.559295268,1.50575451,1.406912656,0.386589847,0.378938868,0.32539811,,,
10/14/2015,1.316837588,1.952053322,1.472689441,1.592204665,0.136481188,0.771696922,0.292333041,0.411848265,,,
10/23/2015,0.920232258,1.118534923,1.342740585,1.500998452,-0.260124142,-0.061821477,0.162384185,0.320642052,,,
10/30/2015,1.166670895,1.043451576,1.497752449,1.370901795,-0.013685505,-0.136904824,0.317396049,0.190545395,,,
11/6/2015,1.033264475,1.099967685,1.109251304,1.334273286,-0.147091925,-0.080388715,-0.071105096,0.153916886,,,
11/13/2015,1.04271262,1.037988547,1.040720062,1.256704752,-0.13764378,-0.142367853,-0.139636338,0.076348352,,,
11/24/2015,2.16727648,1.60499455,1.352481117,1.347610851,0.98692008,0.42463815,0.172124717,0.167254451,,,
12/1/2015,2.392777651,2.280027065,1.659007806,1.578380128,1.212421251,1.099670665,0.478651406,0.398023728,,,
12/9/2015,1.012765704,1.702771677,1.653883114,1.381567209,-0.167590696,0.522415277,0.473526714,0.201210809,,,
12/17/2015,2.656611552,1.834688628,2.057357847,1.549038954,1.476255152,0.654332228,0.877001447,0.368682554,,,
12/24/2015,1.800117579,2.228364566,1.965568122,1.659024619,0.619761179,1.048008166,0.785211722,0.478668219,,,
12/31/2015,1.604489601,1.70230359,1.768496109,1.713751958,0.424133201,0.52194719,0.588139709,0.533395558,,,
1/7/2016,0.17087041,0.887680006,1.558022286,1.6059527,-1.00948599,-0.292676394,0.377665886,0.4255963,,,
1/14/2016,-0.603942483,-0.216536037,0.742883777,1.400120812,-1.784298883,-1.396892437,-0.437472623,0.219764412,,,
1/21/2016,2.151649602,0.773853559,0.830766782,1.398167452,0.971293202,-0.406502841,-0.349589618,0.217811052,,,
1/31/2016,0.991703591,1.571676596,0.67757028,1.223033195,-0.188652809,0.391320196,-0.50278612,0.042676795,,,
2/10/2016,1.044399514,1.018051552,0.895952556,1.226987421,-0.135956886,-0.162304848,-0.284403844,0.046631021,,,
