Week,Apple Weekly Average,Apple Two-Week Average,Apple One-Month Average,Apple Two-Month Moving Average,Apple Weekly Average Difference from Base,Apple Two-Week Average Difference from Base,Apple One-Month Average Difference from Base,Apple Two-Month Average Difference from Base,PxCh,Base Sentiment,-0.4889571
2/18/15,0.287842537,,,,0.776799637,,,,,,
2/25/15,-0.722875057,-0.21751626,,,-0.233917957,0.27144084,,,,,
3/4/15,-0.431435268,-0.577155162,,,0.057521832,-0.088198062,,,,,
3/11/15,-0.438436146,-0.434935707,-0.326225983,,0.050520954,0.054021393,0.162731117,,,,
3/18/15,0.46008685,0.010825352,-0.283164905,,0.94904395,0.499782452,0.205792195,,,,
3/25/15,1.124158342,0.792122596,0.178593445,,1.613115442,1.281079696,0.667550545,,,,
4/1/15,-0.135499753,0.494329295,0.252577323,,0.353457347,0.983286395,0.741534423,,,,
4/8/15,1.073425605,0.468962926,0.630542761,0.152158389,1.562382705,0.957920026,1.119499861,0.641115489,,,
4/15/15,-0.010344312,0.531540647,0.512934971,0.114885033,0.478612788,1.020497747,1.001892071,0.603842133,,,
4/22/15,0.628493643,0.309074666,0.389018796,0.28380612,1.117450743,0.798031766,0.877975896,0.77276322,,,
4/29/15,-0.560017227,0.034238208,0.282889427,0.267733375,-0.071060127,0.523195308,0.771846527,0.756690475,-1.58%,,
5/6/15,0.394473126,-0.082772051,0.113151308,0.371847034,0.883430226,0.406185049,0.602108408,0.860804134,,,
5/13/15,0.168674674,0.2815739,0.157906054,0.335420512,0.657631774,0.770531,0.646863154,0.824377612,,,
5/20/15,-0.098855564,0.034909555,-0.023931248,0.182543774,0.390101536,0.523866655,0.465025852,0.671500874,,,
5/27/15,-1.428848757,-0.76385216,-0.24113913,0.020875149,-0.939891657,-0.27489506,0.24781797,0.509832249,,,
6/3/15,1.02204482,-0.203401969,-0.084246207,0.01445255,1.51100192,0.285555131,0.404710893,0.50340965,,,
6/10/15,0.420908085,0.721476452,-0.021187854,0.0683591,0.909865185,1.210433552,0.467769246,0.5573162,,,
6/17/15,0.584465492,0.502686788,0.14964241,0.062855581,1.073422592,0.991643888,0.63859951,0.551812681,,,
6/24/15,-0.774124712,-0.09482961,0.313323421,0.036092145,-0.285167612,0.39412749,0.802280521,0.525049245,,,
7/1/15,0.177148479,-0.298488117,0.102099336,0.008926565,0.666105579,0.190468983,0.591056436,0.497883665,,,
7/8/15,-0.079573155,0.048787662,-0.023020974,-0.022104414,0.409383945,0.537744762,0.465936126,0.466852686,,,
7/15/15,0.298176975,0.10930191,-0.094593103,0.027524653,0.787134075,0.59825901,0.394363997,0.516481753,,,
7/22/15,0.675550542,0.486863759,0.26782571,0.290574566,1.164507642,0.975820859,0.75678281,0.779531666,-4.23%,,
7/29/15,0.343417981,0.509484261,0.309393086,0.205746211,0.832375081,0.998441361,0.798350186,0.694703311,,,
8/5/15,-0.003250789,0.170083596,0.328473677,0.152726352,0.485706311,0.659040696,0.817430777,0.641683452,,,
8/12/15,0.158104053,0.077426632,0.293455447,0.099431172,0.647061153,0.566383732,0.782412547,0.588388272,,,
8/19/15,-0.359428577,-0.100662262,0.034710667,0.151268189,0.129528523,0.388294838,0.523667767,0.640225289,,,
8/26/15,0.498488222,0.069529822,0.073478227,0.191435656,0.987445322,0.558486922,0.562435327,0.680392756,,,
9/2/15,0.015402515,0.256945368,0.078141553,0.203307615,0.504359615,0.745902468,0.567098653,0.692264715,,,
9/9/15,0.845324111,0.430363313,0.249946568,0.271701007,1.334281211,0.919320413,0.738903668,0.760658107,,,
9/16/15,-1.298225879,-0.226450884,0.015247242,0.024978955,-0.809268779,0.262506216,0.504204342,0.513936055,,,
9/23/15,-0.081605754,-0.689915817,-0.129776252,-0.028149012,0.407351346,-0.200958717,0.359180848,0.460808088,,,
9/30/15,0.438483976,0.178439111,-0.024005887,0.027067833,0.927441076,0.667396211,0.464951213,0.516024933,,,
10/7/15,1.103987565,0.77123577,0.040659977,0.145303272,1.592944665,1.26019287,0.529617077,0.634260372,,,
