Week,Average,Two-Week Average,One-Month Average,Two-Month Moving Average,Weekly Average Diff From Base,Two-Week Average Diff From Base,One-Month Average Diff From Base,Two-Month Average Diff From Base,PxCh,Base Sentiment,-0.484585
2/18/2015,-0.00692367,,,,0.47766133,,,,,,
2/25/2015,-0.065950864,-0.036437267,,,0.418634136,0.448147733,,,,,
3/4/2015,0.473639107,0.203844122,,,0.958224107,0.688429122,,,,,
3/11/2015,-1.131027391,-0.328694142,-0.182565704,,-0.646442391,0.155890858,0.302019296,,,,
3/18/2015,0.419672907,-0.355677242,-0.07591656,,0.904257907,0.128907758,0.40866844,,,,
3/25/2015,1.313504585,0.866588746,0.268947302,,1.798089585,1.351173746,0.753532302,,,,
4/1/2015,-2.660250562,-0.673372989,-0.514525115,,-2.175665562,-0.188787989,-0.029940115,,,,
4/8/2015,-1.06711833,-1.863684446,-0.49854785,-0.340556777,-0.58253333,-1.379099446,-0.01396285,0.144028223,,,
4/15/2015,-1.820905527,-1.444011928,-1.058692458,-0.567304509,-1.336320527,-0.959426928,-0.574107458,-0.082719509,,,
4/22/2015,-0.218928624,-1.019917075,-1.441800761,-0.586426729,0.265656376,-0.535332075,-0.957215761,-0.101841729,,,
4/29/2015,0.243001712,0.012036544,-0.715987692,-0.615256404,0.727586712,0.496621544,-0.231402692,-0.130671404,,,
5/6/2015,0.949189288,0.5960955,-0.211910788,-0.355229319,1.433774288,1.0806805,0.272674212,0.129355681,,,
5/13/2015,0.286442482,0.617815885,0.314926215,-0.371883122,0.771027482,1.102400885,0.799511215,0.112701878,,,
5/20/2015,-1.063366054,-0.388461786,0.103816857,-0.668991952,-0.578781054,0.096123214,0.588401857,-0.184406952,,,
5/27/2015,0.45624291,-0.303561572,0.157127156,-0.279430268,0.94082791,0.181023428,0.641712156,0.205154732,,,
6/3/2015,0.545781432,0.501012171,0.056275192,-0.077817798,1.030366432,0.985597171,0.540860192,0.406767202,,,
6/10/2015,0.198519508,0.37215047,0.034294449,0.174610332,0.683104508,0.85673547,0.518879449,0.659195332,,,
6/17/2015,0.93911239,0.568815949,0.53491406,0.319365458,1.42369739,1.053400949,1.01949906,0.803950458,,,
6/24/2015,0.92410519,0.93160879,0.65187963,0.404503393,1.40869019,1.41619379,1.13646463,0.889088393,,,
7/1/2015,0.638460033,0.781282611,0.67504928,0.365662236,1.123045033,1.265867611,1.15963428,0.850247236,,,
7/8/2015,0.270614002,0.454537017,0.693072904,0.363683676,0.755199002,0.939122017,1.177657904,0.848268676,,,
7/15/2015,0.133359697,0.20198685,0.49163473,0.513274395,0.617944697,0.68657185,0.97621973,0.997859395,,,
7/22/2015,-0.105686644,0.013836527,0.234186772,0.443033201,0.378898356,0.498421527,0.718771772,0.927618201,,,
7/29/2015,0.734995543,0.31465445,0.25832065,0.466684965,1.219580543,0.79923945,0.74290565,0.951269965,,,
8/5/2015,0.661821377,0.69840846,0.356122493,0.524597698,1.146406377,1.18299346,0.840707493,1.009182698,,,
8/12/2015,0.493194706,0.577508041,0.446081245,0.468857988,0.977779706,1.062093041,0.930666245,0.953442988,,,
8/19/2015,-0.176175249,0.158509728,0.428459094,0.331322933,0.308409751,0.643094728,0.913044094,0.815907933,,,
8/26/2015,-0.032926445,-0.104550847,0.236478597,0.247399623,0.451658555,0.380034153,0.721063597,0.731984623,,,
9/2/2015,0.416505678,0.191789617,0.175149672,0.265636083,0.901090678,0.676374617,0.659734672,0.750221083,,,
9/9/2015,-0.330645469,0.042930105,-0.030810371,0.207635437,0.153939531,0.527515105,0.453774629,0.692220437,,,
9/16/2015,-0.454169517,-0.392407493,-0.100308938,0.164075078,0.030415483,0.092177507,0.384276062,0.648660078,,,
9/23/2015,0.005322637,-0.22442344,-0.090746667,0.072865965,0.489907637,0.26016156,0.393838333,0.557450965,,,
9/30/2015,0.28780687,0.146564753,-0.12292137,0.026114151,0.77239187,0.631149753,0.36166363,0.510699151,,,
10/7/2015,0.38338288,0.335594875,0.055585718,0.012387673,0.86796788,0.820179875,0.540170718,0.496972673,,,
10/14/2015,-0.225875927,0.078753477,0.112659115,0.006175089,0.258709073,0.563338477,0.597244115,0.490760089,,,
10/21/2015,-0.194836571,-0.210356249,0.062619313,-0.014063677,0.289748429,0.274228751,0.547204313,0.470521323,,,
