Week,Average,Company
2/18/2015,-0.8818027,amazon
4/24/2015,-0.27027027,amazon
5/20/2015,-1.325478645,amazon
6/28/2015,-2.456447133,amazon
7/14/2015,0.484848485,amazon
7/24/2015,-3.703703704,amazon
10/22/2015,-1.363326517,amazon
1/8/2016,0,amazon
1/29/2016,-3.58974359,amazon
2/29/2016,0,amazon
7/29/2016,-1.794871795,amazon
8/11/2016,0.252525253,amazon
9/26/2016,1.533546326,amazon
11/26/2016,1.55743024,amazon
12/6/2016,1.746724891,amazon
12/27/2016,-2.514216662,amazon
2/28/2017,-0.032604956,amazon
3/31/2017,0,amazon
2/18/2015,0,amd
9/4/2015,0.704225352,amd
2/18/2015,0.763358779,apple
2/26/2015,-0.699008306,apple
3/11/2015,1.95035461,apple
3/18/2015,-1.904761905,apple
3/26/2015,0.424896269,apple
4/2/2015,-2.350840913,apple
4/9/2015,-3.082532849,apple
4/30/2015,-2.43902439,apple
5/17/2015,-1.368329597,apple
5/26/2015,-5.379278446,apple
6/2/2015,-0.322864329,apple
6/21/2015,-1.09405335,apple
6/28/2015,0.541487149,apple
7/5/2015,-2.319109462,apple
8/5/2015,-1.168138337,apple
8/13/2015,0.215308914,apple
8/21/2015,-2.567695045,apple
9/15/2015,-1.41697296,apple
9/22/2015,-1.172731501,apple
9/29/2015,-0.228690804,apple
10/28/2015,2.351344614,apple
11/12/2015,-2.6918989,apple
11/20/2015,-2.63242392,apple
11/30/2015,1.077586207,apple
12/17/2015,-1.684375258,apple
1/7/2016,-1.933701657,apple
1/15/2016,-4.782564318,apple
1/22/2016,-1.660364227,apple
2/6/2016,0.301887926,apple
2/13/2016,-2.982873182,apple
2/20/2016,-4.800303332,apple
2/27/2016,-3.969703158,apple
3/5/2016,-3.83563744,apple
3/12/2016,-2.270577105,apple
3/22/2016,-3.407660783,apple
3/29/2016,-4.322114711,apple
4/5/2016,0.70323488,apple
4/18/2016,-2.4141963,apple
4/25/2016,-2.492106923,apple
5/6/2016,-2.78512788,apple
5/17/2016,-0.081302954,apple
5/29/2016,-2.182539683,apple
6/14/2016,-0.570251192,apple
6/21/2016,-3.548505724,apple
6/28/2016,-4.486333727,apple
7/5/2016,-1.150733606,apple
7/20/2016,-4.304635762,apple
7/29/2016,-0.639488409,apple
8/9/2016,-3.47985348,apple
8/26/2016,-3.353178994,apple
9/6/2016,-0.645709751,apple
9/14/2016,-2.909927265,apple
9/26/2016,1.604278075,apple
