Week,Average,Two-Week Average,One-Month Average,Two-Month Moving Average,Weekly Average Diff From Base,Two-Week Average Diff From Base,One-Month Average Diff From Base,Two-Month Average Diff From Base,PxCh,Base Sentiment,0.0408539
2/18/2015,-0.751048633,,,,-0.791902533,,,,,,
2/25/2015,-0.085687369,-0.418368001,,,-0.126541269,-0.459221901,,,,,
3/4/2015,0.474159902,0.194236267,,,0.433306002,0.153382367,,,,,
3/11/2015,-0.053199432,0.210480235,-0.103943883,,-0.094053332,0.169626335,-0.144797783,,,,
3/18/2015,0.368756573,0.157778571,0.176007419,,0.327902673,0.116924671,0.135153519,,,,
3/25/2015,0.288737062,0.328746817,0.269613526,,0.247883162,0.287892917,0.228759626,,,,
4/1/2015,-0.87880459,-0.295033764,-0.068627597,,-0.91965849,-0.335887664,-0.109481497,,,,
4/8/2015,-0.850912883,-0.864858736,-0.26805596,-0.185999921,-0.891766783,-0.905712636,-0.30890986,-0.226853821,,,
4/15/2015,-1.203495359,-1.027204121,-0.661118943,-0.242555762,-1.244349259,-1.068058021,-0.701972843,-0.283409662,,,
4/22/2015,0.102587155,-0.550454102,-0.707656419,-0.219021446,0.061733255,-0.591308002,-0.748510319,-0.259875346,,,
4/29/2015,0.388746743,0.245666949,-0.390768586,-0.229698091,0.347892843,0.204813049,-0.431622486,-0.270551991,,,
5/6/2015,-0.43396642,-0.022609839,-0.28653197,-0.277293965,-0.47482032,-0.063463739,-0.32738587,-0.318147865,,,
5/13/2015,-0.998080265,-0.716023343,-0.235178197,-0.44814857,-1.038934165,-0.756877243,-0.276032097,-0.48900247,,,
5/20/2015,-1.038187679,-1.018133972,-0.520371905,-0.614014162,-1.079041579,-1.058987872,-0.561225805,-0.654868062,,,
5/27/2015,0.908015098,-0.065086291,-0.390554817,-0.390661701,0.867161198,-0.105940191,-0.431408717,-0.431515601,,,
6/3/2015,-0.643542177,0.13223646,-0.442948756,-0.364740363,-0.684396077,0.09138256,-0.483802656,-0.405594263,,,
6/10/2015,0.226732046,-0.208405065,-0.136745678,-0.185961937,0.185878146,-0.249258965,-0.177599578,-0.226815837,,,
6/17/2015,-0.715191901,-0.244229927,-0.055996733,-0.288184319,-0.756045801,-0.285083827,-0.096850633,-0.329038219,,,
6/24/2015,-0.049949162,-0.382570531,-0.295487798,-0.343021308,-0.090803062,-0.423424431,-0.336341698,-0.383875208,,,
7/1/2015,-0.521279944,-0.285614553,-0.26492224,-0.353935498,-0.562133844,-0.326468453,-0.30577614,-0.394789398,,,
7/8/2015,-0.105942217,-0.31361108,-0.348090806,-0.242418242,-0.146796117,-0.35446498,-0.388944706,-0.283272142,,,
7/15/2015,-0.168677459,-0.137309838,-0.211462196,-0.133729464,-0.209531359,-0.178163738,-0.252316096,-0.174583364,,,
7/22/2015,0.206959238,0.019140889,-0.147235096,-0.221361447,0.166105338,-0.021713011,-0.188088996,-0.262215347,,,
7/29/2015,0.049678756,0.128318997,-0.004495421,-0.13470883,0.008824856,0.087465097,-0.045349321,-0.17556273,,,
8/5/2015,0.560046593,0.304862674,0.162001782,-0.093044512,0.519192693,0.264008774,0.121147882,-0.133898412,,,
8/12/2015,0.621227981,0.590637287,0.359478142,0.074007973,0.580374081,0.549783387,0.318624242,0.033154073,,,
8/19/2015,0.263335274,0.442281628,0.373572151,0.113168528,0.222481374,0.401427728,0.332718251,0.072314628,,,
8/26/2015,-0.404930133,-0.070797429,0.259919929,0.127712254,-0.445784033,-0.111651329,0.219066029,0.086858354,,,
9/2/2015,0.295728618,-0.054600757,0.193840435,0.177921108,0.254874718,-0.095454657,0.152986535,0.137067208,,,
9/9/2015,0.288936352,0.292332485,0.110767528,0.235122835,0.248082452,0.251478585,0.069913628,0.194268935,,,
9/16/2015,0.073545699,0.181241025,0.063320134,0.218446142,0.032691799,0.140387125,0.022466234,0.177592242,,,
9/23/2015,0.721684333,0.397615016,0.34497375,0.30244684,0.680830433,0.356761116,0.30411985,0.26159294,,,
9/30/2015,0.469071578,0.595377955,0.38830949,0.291074963,0.428217678,0.554524055,0.34745559,0.250221063,,,
10/7/2015,0.596092091,0.532581834,0.465098425,0.287932976,0.555238191,0.491727934,0.424244525,0.247079076,,,
10/14/2015,0.609340342,0.602716217,0.599047086,0.33118361,0.568486442,0.561862317,0.558193186,0.29032971,,,
10/21/2015,0.736696039,0.67301819,0.602800012,0.473886881,0.695842139,0.63216429,0.561946112,0.433032981,,,
10/28/2015,0.309642859,0.523169449,0.562942833,0.475626162,0.268788959,0.482315549,0.522088933,0.434772262,,,
11/4/2015,0.626820005,0.468231432,0.570624811,0.517861618,0.585966105,0.427377532,0.529770911,0.477007718,,,
11/11/2015,0.082486446,0.354653225,0.438911337,0.518979212,0.041632546,0.313799325,0.398057437,0.478125312,,,
11/18/2015,1.047420138,0.564953292,0.516592362,0.559696187,1.006566238,0.524099392,0.475738462,0.518842287,,,
11/25/2015,0.222332655,0.634876397,0.494764811,0.528853822,0.181478755,0.594022497,0.453910911,0.487999922,,,
12/2/2015,0.512644409,0.367488532,0.466220912,0.518422862,0.471790509,0.326634632,0.425367012,0.477568962,,,
12/9/2015,0.935046539,0.723845474,0.679360935,0.559136136,0.894192639,0.682991574,0.638507035,0.518282236,,,
12/16/2015,0.305220653,0.620133596,0.493811064,0.505201713,0.264366753,0.579279696,0.452957164,0.464347813,,,
12/23/2015,0.918661106,0.61194088,0.667893177,0.581328994,0.877807206,0.57108698,0.627039277,0.540475094,,,
12/30/2015,0.63070717,0.774684138,0.697408867,0.58181489,0.58985327,0.733830238,0.656554967,0.54096099,,,
1/6/2016,0.111818169,0.371262669,0.491601774,0.585481355,0.070964269,0.330408769,0.450747874,0.544627455,,,
1/13/2016,0.132793486,0.122305827,0.448494983,0.471153023,0.091939586,0.081451927,0.407641083,0.430299123,,,
1/20/2016,-0.30129892,-0.084252717,0.143504976,0.405699076,-0.34215282,-0.125106617,0.102651076,0.364845176,,,
1/27/2016,-0.401911233,-0.351605076,-0.114649624,0.291379621,-0.442765133,-0.392458976,-0.155503524,0.250525721,,,
2/3/2016,0.459099538,0.028594153,-0.027829282,0.231886246,0.418245638,-0.012259747,-0.068683182,0.191032346,,,
2/10/2016,0.127787161,0.29344335,-0.029080863,0.20970706,0.086933261,0.25258945,-0.069934763,0.16885316,,,
2/17/2016,-0.050621712,0.038582725,0.033588439,0.088546707,-0.091475612,-0.002271175,-0.007265461,0.047692807,,,
2/24/2016,-0.93487123,-0.492746471,-0.099651561,-0.107150593,-0.97572513,-0.533600371,-0.140505461,-0.148004493,,,
3/2/2016,0.179464591,-0.37770332,-0.169560297,-0.09869479,0.138610691,-0.41855722,-0.210414197,-0.13954869,,,
3/9/2016,0.493183528,0.33632406,-0.078211206,-0.053646035,0.452329628,0.29547016,-0.119065106,-0.094499935,,,
3/16/2016,0.326693999,0.409938764,0.016117722,0.02485308,0.285840099,0.369084864,-0.024736178,-0.01600082,,,
3/23/2016,-0.000661005,0.163016497,0.249670278,0.075009359,-0.041514905,0.122162597,0.208816378,0.034155459,,,
3/30/2016,-1.199379299,-0.600020152,-0.095040694,-0.132300496,-1.240233199,-0.640874052,-0.135894594,-0.173154396,,,
4/6/2016,0.258837562,-0.470270868,-0.153627185,-0.115919196,0.217983662,-0.511124768,-0.194481085,-0.156773096,,,
4/13/2016,0.353610708,0.306224135,-0.146898008,-0.065390143,0.312756808,0.265370235,-0.187751908,-0.106244043,,,
4/20/2016,-0.258587319,0.047511695,-0.211379587,0.019145346,-0.299441219,0.006657795,-0.252233487,-0.021708554,,,
4/27/2016,0.242330447,-0.008128436,0.14904785,0.027003578,0.201476547,-0.048982336,0.10819395,-0.013850322,,,
5/4/2016,0.409937715,0.326134081,0.186822888,0.016597851,0.369083815,0.285280181,0.145968988,-0.024256049,,,
5/11/2016,-0.269843308,0.070047204,0.030959384,-0.057969312,-0.310697208,0.029193304,-0.009894516,-0.098823212,,,
5/18/2016,0.156229183,-0.056807062,0.134663509,-0.038358039,0.115375283,-0.097660962,0.093809609,-0.079211939,,,
5/25/2016,-0.512669232,-0.178220025,-0.05408641,0.04748072,-0.553523132,-0.219073925,-0.09494031,0.00662682,,,
6/1/2016,0.139611542,-0.186528845,-0.121667954,0.032577467,0.098757642,-0.227382745,-0.162521854,-0.008276433,,,
6/8/2016,0.165014311,0.152312926,-0.012953549,0.009002917,0.124160411,0.111459026,-0.053807449,-0.031850983,,,
6/15/2016,1.120548084,0.642781197,0.228126176,0.181394843,1.079694184,0.601927297,0.187272276,0.140540943,,,
6/22/2016,0.074629133,0.597588609,0.374950767,0.160432179,0.033775233,0.556734709,0.334096867,0.119578279,,,
6/29/2016,-0.229983759,-0.077677313,0.282551942,0.080441994,-0.270837659,-0.118531213,0.241698042,0.039588094,,,
7/6/2016,-0.418048446,-0.324016103,0.136786253,0.061916352,-0.458902346,-0.364870003,0.095932353,0.021062452,,,
7/13/2016,-0.547366411,-0.482707429,-0.280192371,-0.026033097,-0.588220311,-0.523561329,-0.321046271,-0.066886997,,,
7/20/2016,-0.047331221,-0.297348816,-0.310682459,0.032134154,-0.088185121,-0.338202716,-0.351536359,-0.008719746,,,
7/27/2016,0.513952305,0.233310542,-0.124698443,0.078926749,0.473098405,0.192456642,-0.165552343,0.038072849,,,
8/3/2016,0.154069242,0.334010774,0.018330979,0.077558616,0.113215342,0.293156874,-0.022522921,0.036704716,,,
8/10/2016,-0.379773809,-0.112852284,0.060229129,-0.109981621,-0.420627709,-0.153706184,0.019375229,-0.150835521,,,
8/17/2016,0.278895205,-0.050439302,0.141785736,-0.084448362,0.238041305,-0.091293202,0.100931836,-0.125302262,,,
8/24/2016,0.126330073,0.202612639,0.044880178,-0.039909133,0.085476173,0.161758739,0.004026278,-0.080763033,,,
8/31/2016,0.285632656,0.205981364,0.077771031,0.048051005,0.244778756,0.165127464,0.036917131,0.007197105,,,
9/7/2016,0.299482512,0.292557584,0.247585111,0.15390712,0.258628612,0.251703684,0.206731211,0.11305322,,,
9/14/2016,-0.55592116,-0.128219324,0.03888102,0.090333378,-0.59677506,-0.169073224,-0.00197288,0.049479478,,,
9/21/2016,0.312682289,-0.121619436,0.085469074,0.065174626,0.271828389,-0.162473336,0.044615174,0.024320726,,,
9/28/2016,0.103963616,0.208322953,0.040051814,0.058911423,0.063109716,0.167469053,-0.000802086,0.018057523,,,
10/5/2016,0.420382402,0.262173009,0.070276787,0.158930949,0.379528502,0.221319109,0.029422887,0.118077049,,,
10/12/2016,0.644177441,0.532279922,0.370301437,0.204591229,0.603323541,0.491426022,0.329447537,0.163737329,,,
10/19/2016,0.626270901,0.635224171,0.44869859,0.267083832,0.585417001,0.594370271,0.40784469,0.226229932,,,
10/26/2016,0.280384696,0.453327798,0.49280386,0.266427837,0.239530796,0.412473898,0.45194996,0.225573937,,,
