ï»¿Date,Close,,Open,High,Low,Volume
2/18/15,76.71,,75.94,76.9,75.45,22426421
2/19/15,79.42,,76.99,79.84,76.95,45851177
2/20/15,79.9,,79.55,80.34,79.2,36931698
2/23/15,78.84,,79.96,80.19,78.38,24139056
2/24/15,78.45,,78.5,79.48,78.1,18897133
2/25/15,79.56,,78.5,80.2,78.5,25593800
2/26/15,80.41,,79.88,81.37,79.72,31111891
2/27/15,78.97,,80.68,81.23,78.62,30739197
3/2/15,79.75,,79,79.86,78.52,21662537
3/3/15,79.6,,79.61,79.7,78.52,18634973
3/4/15,80.9,,79.3,81.15,78.85,28126686
3/5/15,81.21,,81.23,81.99,81.05,27825733
3/6/15,80,,80.9,81.33,79.83,24488581
3/9/15,79.44,,79.68,79.91,78.63,18925097
3/10/15,77.55,,78.5,79.26,77.55,23067057
3/11/15,77.57,,77.8,78.43,77.26,20215704
3/12/15,78.93,,78.1,79.05,77.91,16093319
3/13/15,78.05,,78.6,79.38,77.68,18557296
3/16/15,78.07,,77.96,78.12,77.36,19305406
3/17/15,79.36,,78.36,79.78,78.34,22169969
3/18/15,80.91,,79.25,81.24,79.17,36912446
3/19/15,82.75,,81.12,83,81,42099523
3/20/15,83.8,,83.39,84.6,83.07,44466323
3/23/15,84.43,,83.92,84.96,83.3,27357333
3/24/15,85.31,,84.71,86.07,84.52,32576522
3/25/15,82.92,,85.5,85.52,82.92,37436147
3/26/15,83.01,,82.72,83.77,82.14,32794800
3/27/15,83.3,,83.38,83.95,82.88,18372582
3/30/15,83.2,,83.81,84.34,82.41,24527686
3/31/15,82.22,,82.9,83.5,82.21,19734277
4/1/15,81.66,,82.5,82.72,80.87,22058167
4/2/15,81.56,,82.25,82.56,81.44,19664053
4/6/15,82.44,,80.8,82.81,80.8,19062934
4/7/15,82.32,,82.65,83.42,82.22,17467042
4/8/15,82.28,,82.63,83.1,81.84,18966732
4/9/15,82.17,,82.5,82.8,81.71,15927281
4/10/15,82.04,,82.21,82.61,81.91,12529738
4/13/15,83.01,,81.93,83.94,81.92,26883094
4/14/15,83.52,,83.17,83.69,82.44,19634173
4/15/15,82.7,,83.55,83.66,82.27,22390943
4/16/15,82.31,,82.47,83.07,82.15,13769687
4/17/15,80.78,,81.48,82.11,80.37,24214983
4/20/15,83.09,,81.54,83.15,81.24,28796761
4/21/15,83.62,,84,84.49,83.54,27171852
4/22/15,84.63,,84.32,84.74,83.65,45547963
4/23/15,82.41,-2.62%,84.1,85.59,82.41,73728080
4/24/15,81.53,,82.77,82.94,81.48,29660356
4/27/15,81.91,,81.87,82.93,81.63,25446032
4/28/15,80.68,,81.83,81.9,80.23,23775344
4/29/15,80.46,-4.93%,80.01,81.39,79.52,26430258
4/30/15,78.77,,80.01,80.96,78.32,28999005
