ï»¿Date,Close,,Open,High,Low,Volume
2/18/15,539.7,,541.4,545.49,537.51,1449089
2/19/15,542.87,,538.04,543.11,538.01,987478
2/20/15,538.95,,543.13,543.75,535.8,1441212
2/23/15,531.91,,536.05,536.44,529.41,1453907
2/24/15,536.09,,530,536.79,528.25,1002393
2/25/15,543.87,,535.9,546.22,535.44,1821041
2/26/15,555.48,,543.21,556.14,541.5,2305219
2/27/15,558.4,,554.24,564.71,552.9,2403553
3/2/15,571.34,,560.53,572.15,558.75,2123796
3/3/15,573.64,,570.45,575.39,566.52,1700084
3/4/15,573.37,,571.87,577.11,568.01,1871694
3/5/15,575.33,,575.02,577.91,573.41,1385818
3/6/15,567.68,,574.88,576.68,566.76,1654561
3/9/15,568.85,,566.86,570.27,563.54,1059336
3/10/15,555.01,,564.25,564.85,554.73,1787357
3/11/15,551.18,,555.14,558.14,550.68,1815763
3/12/15,555.51,,553.51,556.37,550.46,1385772
3/13/15,547.32,,553.5,558.4,544.22,1698872
3/16/15,554.51,,550.95,556.85,546,1636493
3/17/15,550.84,,551.71,553.8,548,1800570
3/18/15,559.5,,552.5,559.78,547,2128714
3/19/15,557.99,,559.39,560.8,556.14,1194049
3/20/15,560.36,,561.65,561.72,559.05,2609690
3/23/15,558.81,,560.43,562.36,555.83,1639306
3/24/15,570.19,,562.56,574.59,561.21,2576234
3/25/15,558.78,,570.5,572.26,558.74,2146384
3/26/15,555.17,,557.59,558.9,550.65,1568331
3/27/15,548.34,,553,555.28,548.13,1892323
3/30/15,552.03,,551.62,553.47,548.17,1283958
3/31/15,548,,550,554.71,546.72,1583677
4/1/15,542.56,,548.6,551.14,539.5,1957718
4/2/15,535.53,,540.85,540.85,533.85,1711737
4/6/15,536.76,,532.22,538.41,529.57,1320767
4/7/15,537.02,,538.08,542.69,536,1299298
4/8/15,541.61,,538.38,543.85,538.38,1175332
4/9/15,540.78,,541.03,541.95,535.49,1553586
4/10/15,540.01,,542.29,542.29,537.31,1405574
4/13/15,539.17,,538.41,544.06,537.31,1640809
4/14/15,530.39,,536.25,537.57,528.09,2597043
4/15/15,532.53,,528.7,534.73,523.22,2312512
4/16/15,533.8,,529.9,535.59,529.61,1296304
4/17/15,524.05,,528.66,529.84,521.01,2145955
4/20/15,535.38,,525.6,536.09,524.5,1675487
4/21/15,533.97,,537.51,539.39,533.68,1839668
4/22/15,539.36,,534.4,541.08,531.75,1589248
4/23/15,547,,541,550.96,540.23,4173376
4/24/15,565.06,3.30%,566.1,571.14,557.25,4919031
4/27/15,555.37,,563.39,565.95,553.2,2398039
4/28/15,553.68,,554.64,556.02,550.37,1490983
4/29/15,549.08,,550.47,553.68,546.9,1698761
4/30/15,537.34,-1.77%,547.87,548.59,535.05,2082214
5/1/15,537.9,,538.43,539.54,532.1,1768181
5/4/15,540.78,,538.53,544.07,535.06,1307960
5/5/15,530.8,,538.21,539.74,530.39,1383068
5/6/15,524.22,,531.24,532.38,521.08,1566987
5/7/15,530.7,-2.98%,523.99,533.46,521.75,1546278
5/8/15,538.22,,536.65,541.15,536,1527615
5/11/15,535.7,,538.37,541.98,535.4,905285
5/12/15,529.04,,531.6,533.21,525.26,1634174
5/13/15,529.62,,530.56,534.32,528.66,1253063
5/14/15,538.4,,533.77,539,532.41,1403935
5/15/15,533.85,,539.18,539.27,530.38,1971343
5/18/15,532.3,,532.01,534.82,528.85,2003421
5/19/15,537.36,,533.98,540.66,533.04,1966947
5/20/15,539.27,,538.49,542.92,532.97,1430826
5/21/15,542.51,,537.95,543.84,535.98,1462695
5/22/15,540.11,,540.15,544.19,539.51,1176214
5/26/15,532.32,,538.12,539,529.88,2406512
5/27/15,539.79,,532.8,540.55,531.71,1525019
5/28/15,539.78,,538.01,540.61,536.25,1029849
5/29/15,532.11,,537.37,538.63,531.45,2597407
6/1/15,533.99,,536.79,536.79,529.76,1904332
6/2/15,539.18,,532.93,543,531.33,1938989
6/3/15,540.31,,539.91,543.5,537.11,1717036
6/4/15,536.7,,537.76,540.59,534.32,1348337
6/5/15,533.33,,536.35,537.2,532.52,1388220
6/8/15,526.83,,533.31,534.12,526.24,1524139
6/9/15,526.69,,527.56,529.2,523.01,1455266
