ï»¿Date,Close,,Open,High,Low,Volume
2/18/15,162.19,,161.86,162.47,160.64,4358385
2/19/15,163.89,,162.05,164.49,161.44,3504380
2/20/15,163.65,,163.64,164.34,162.09,3352982
2/23/15,162.91,,164.23,164.4,162.5,2714434
2/24/15,164.83,,162.49,164.99,161.51,4701626
2/25/15,162.81,,164.94,164.96,162.58,4004559
2/26/15,160.87,,163.74,164.14,159.77,7110772
2/27/15,161.94,,161.05,162.29,160.16,4410037
3/2/15,160.48,,161.68,161.89,159.81,5917862
3/3/15,161.03,,160.27,161.75,160,3234401
3/4/15,159.42,,160.54,160.56,158.72,3633635
3/5/15,161.18,,159.86,161.5,159.7,3791660
3/6/15,158.5,,160.19,161.44,158.06,4540174
3/9/15,160.77,,158.2,161.15,158.2,5193874
3/10/15,157.81,,159.6,160.23,157.81,4600968
3/11/15,156.8,,158.57,159.14,155.94,5709890
3/12/15,157.98,,156.27,158.72,156.27,4567346
3/13/15,154.28,,157.46,157.52,153.4,6064120
3/16/15,157.08,,155.05,157.09,154.8,3749638
3/17/15,156.96,,156.2,157.29,155.37,3311943
3/18/15,159.81,,156.85,160.7,155.8,5738827
3/19/15,159.81,,159.7,160.92,158.81,3878559
3/20/15,162.88,,160.95,163,160.35,9006417
3/23/15,164.63,,162.77,165.35,162.73,5930127
3/24/15,163,,164.79,164.89,162.9,4346145
3/25/15,159.2,,163.08,163.08,159.2,5428930
3/26/15,160.59,,159.27,161.25,158.91,4396024
3/27/15,160.4,,160.79,160.9,159.23,3477923
3/30/15,162.67,,161.31,163.6,161.25,4138018
3/31/15,160.5,,161.08,162.33,160.4,4255368
4/1/15,159.18,,160.23,160.62,158.39,3700791
4/2/15,160.45,,159.52,162.54,158.89,4671578
4/6/15,162.04,,159.69,162.8,158.7,3465682
4/7/15,162.07,,161.67,163.84,161.62,3147975
4/8/15,161.85,,161.72,163.55,161.01,2524323
4/9/15,162.34,,161.7,162.47,160.72,2263490
4/10/15,162.86,,162.34,163.33,161.25,2515703
4/13/15,162.38,,162.37,164,162.36,3868911
4/14/15,162.3,,162.42,162.74,160.79,2719287
4/15/15,164.13,,162.63,164.96,162.5,3498756
4/16/15,163.13,,163.31,163.98,162.54,3136947
4/17/15,160.67,,161.75,161.86,160.03,4314432
4/20/15,166.16,,162.1,166.64,161.9,9609204
4/21/15,164.26,-1.14%,166.07,167.38,164.05,9683592
4/22/15,165.36,,164.39,166,162.89,4024789
4/23/15,170.24,,165.23,171.91,165.14,8235607
4/24/15,169.78,,170.23,170.85,168.74,3888439
4/27/15,170.73,2.75%,170.89,171.49,170.3,3168575
4/28/15,173.92,,170.83,174.69,170.02,5816654
4/29/15,174.4,,173.4,175.13,172.8,4518381
