¥éËDate,Close,,Open,High,Low,Volume
2/18/15,43.53,,43.63,43.7,43.39,27111657
2/19/15,43.5,,43.18,43.53,43.05,27603420
2/20/15,43.86,,43.51,43.88,43.29,29721133
2/23/15,44.15,,43.7,44.19,43.65,32518754
2/24/15,44.09,,44.15,44.3,43.92,25271747
2/25/15,43.99,,43.95,44.09,43.8,29759820
2/26/15,44.06,,43.99,44.23,43.89,28957329
2/27/15,43.85,,44.13,44.2,43.66,33807740
3/2/15,43.88,,43.67,44.19,43.55,31924049
3/3/15,43.28,,43.56,43.82,43.09,31748648
3/4/15,43.06,,43.01,43.21,42.88,25748692
3/5/15,43.11,,43.07,43.24,42.82,23193541
3/6/15,42.36,,43,43.11,42.15,36248785
3/9/15,42.85,,42.19,43.12,42.19,32107957
3/10/15,42.03,,42.35,42.71,42.03,39159730
3/11/15,41.98,,42.31,42.37,41.84,32215314
3/12/15,41.02,,41.33,41.65,40.86,59992502
3/13/15,41.38,,40.7,41.47,40.61,58007705
3/16/15,41.56,,41.47,41.64,41.28,35273452
3/17/15,41.7,,41.37,41.83,41.15,31673448
3/18/15,42.5,,41.43,42.83,41.33,44194771
3/19/15,42.28,,42.26,42.59,42.22,33879066
3/20/15,42.88,,42.56,42.98,42.49,71904529
3/23/15,42.86,,42.88,43.13,42.78,26246086
3/24/15,42.9,,42.78,43.17,42.75,25513252
3/25/15,41.46,,42.92,42.92,41.44,43469907
3/26/15,41.21,,41.22,41.61,40.92,37495627
3/27/15,40.97,,41.12,41.43,40.83,34401398
3/30/15,40.96,,41.1,41.54,40.91,35049662
3/31/15,40.66,,40.78,41.03,40.54,34887219
4/1/15,40.72,,40.6,40.76,40.31,36865322
4/2/15,40.29,,40.66,40.74,40.12,37487476
4/6/15,41.54,,40.34,41.78,40.18,39223692
4/7/15,41.53,,41.61,41.91,41.31,28809375
4/8/15,41.42,,41.46,41.69,41.04,24753438
4/9/15,41.48,,41.25,41.62,41.25,25723861
4/10/15,41.72,,41.63,41.95,41.41,28022002
4/13/15,41.76,,41.4,42.06,41.39,30276692
4/14/15,41.65,,41.8,42.03,41.39,24244382
4/15/15,42.26,,41.76,42.46,41.68,27343581
4/16/15,42.16,,41.95,42.34,41.82,22509652
4/17/15,41.62,,41.67,41.74,41.16,42387608
4/20/15,42.9,,41.73,43.17,41.68,46057733
4/21/15,42.64,,43,43.15,42.53,26013844
4/22/15,42.98,,42.67,43.13,42.55,25064273
4/23/15,43.34,,42.89,43.61,42.8,46309530
4/24/15,47.87,10.45%,45.66,48.14,45.65,130933665
4/27/15,48.03,,47.23,48.13,47.22,59248172
4/28/15,49.16,,47.78,49.21,47.7,60730778
4/29/15,49.06,,48.72,49.31,48.5,47804562
4/30/15,48.64,1.61%,48.7,49.54,48.6,64725457
5/1/15,48.66,,48.58,48.88,48.4,38937336
5/4/15,48.24,,48.37,48.87,48.18,34039485
5/5/15,47.6,,47.82,48.16,47.31,50369191
5/6/15,46.28,,47.57,47.77,46.02,52433020
5/7/15,46.7,-2.44%,46.27,47.08,46.16,32971654
5/8/15,47.75,,47.55,47.98,47.52,35364911
5/11/15,47.37,,47.55,47.91,47.37,24609416
5/12/15,47.35,,46.85,47.68,46.42,29928264
5/13/15,47.62,,48.19,48.32,47.57,34184613
5/14/15,48.72,,48.03,48.82,48.03,32980892
5/15/15,48.3,,48.87,48.9,48.05,28642694
5/18/15,48.01,,47.98,48.22,47.61,24136502
5/19/15,47.58,,47.56,47.81,47.18,28574813
5/20/15,47.58,,47.39,47.93,47.27,25047919
5/21/15,47.42,,47.28,47.6,47,22410698
5/22/15,46.9,,47.3,47.35,46.82,25720583
5/26/15,46.59,,46.83,46.88,46.19,29581860
5/27/15,47.61,,46.82,47.77,46.62,27335639
5/28/15,47.45,,47.5,48.02,47.39,19283666
5/29/15,46.86,,47.43,47.57,46.59,36519594
6/1/15,47.23,,47.06,47.77,46.62,28837332
6/2/15,46.92,,46.93,47.35,46.62,21498326
6/3/15,46.85,,47.37,47.74,46.82,28002154
6/4/15,46.36,,46.79,47.16,46.2,27745512
6/5/15,46.14,,46.31,46.52,45.84,25438086
6/8/15,45.73,,46.3,46.43,45.67,22121634
6/9/15,45.65,,45.76,45.94,45.46,24406057
6/10/15,46.61,,45.79,46.83,45.69,28417405
6/11/15,46.44,,46.66,46.92,46.13,27347758
6/12/15,45.97,,46.22,46.47,45.9,23930972
6/15/15,45.48,,45.45,45.65,45.02,33254517
6/16/15,45.83,,45.35,46.24,45.3,27070306
6/17/15,45.97,,45.73,46.07,45.36,28704061
6/18/15,46.72,,46.22,46.8,46.17,32658343
6/19/15,46.1,,46.79,46.82,45.99,63837036
6/22/15,46.23,,46.33,46.72,46.16,20318055
6/23/15,45.91,,46.13,46.28,45.62,25896473
6/24/15,45.64,,45.67,46.24,45.55,34890901
6/25/15,45.65,,46.03,46.06,45.5,20615995
6/26/15,45.26,,45.65,46.28,45.03,49835287
6/29/15,44.37,,45.04,45.23,44.36,34081746
6/30/15,44.15,,44.71,44.72,43.94,35945384
7/1/15,44.44,,44.46,45.23,44.1,28343907
7/2/15,44.4,,44.48,44.75,44.06,21752013
