ï»¿Date,Close,,Open,High,Low,Volume
2/18/15,67.87,,67.02,68.07,66.65,10316831
2/19/15,67.8,,67.86,68.71,67.57,10438554
2/20/15,68.31,,67.95,68.37,67.64,9421846
2/23/15,67.41,,68.3,68.31,67.14,9031701
2/24/15,67.84,,67.37,68.08,67.36,6075202
2/25/15,68.33,,67.81,68.79,67.81,6859867
2/26/15,69,,68.63,69.5,68.43,10852884
2/27/15,67.84,,69.08,69.43,67.82,11516694
3/2/15,68.61,,67.71,68.61,67.23,10186925
3/3/15,67.82,,68.34,68.46,67.51,7426608
3/4/15,67.11,,67.53,67.93,66.18,17453779
3/5/15,66.81,,67.43,67.46,66.42,11248986
3/6/15,64.87,,66.64,66.93,64.84,12888540
3/9/15,63.66,,64.99,65.09,62.83,18970931
3/10/15,62.15,,63.02,63.35,61.98,17947034
3/11/15,62.88,,62.24,63.94,62.24,16363417
3/12/15,64.05,,63.35,64.58,63.34,14654647
3/13/15,62.63,,63.91,64.06,62.37,10160997
3/16/15,60.28,,61.55,61.55,59.62,26796119
3/17/15,59.79,,59.71,60.69,59.38,18428130
3/18/15,60.45,,59.74,60.65,59.3,14634935
3/19/15,60.74,,60.46,61.21,60.26,11449823
3/20/15,61.18,,61.34,61.79,60.9,13641838
3/23/15,60.71,,60.89,61.16,60.33,7664104
3/24/15,62.61,,61.14,63.1,61.12,16888746
3/25/15,60.25,,62.68,62.69,60.24,21652386
3/26/15,59.75,,59.63,60.45,59.39,16038785
3/27/15,59.25,,59.33,59.85,58.57,15851934
3/30/15,60.37,,59.72,60.56,59.36,13272378
3/31/15,59.53,,60.11,60.42,59.46,14248605
4/1/15,59.02,,59.64,59.79,58.7,14639744
4/2/15,59.15,,59.07,59.61,58.86,9864211
4/6/15,60.33,,58.77,60.45,58.46,10730328
4/7/15,60.49,,60.5,60.85,60.04,9977716
4/8/15,63.05,,61.2,63.11,61.18,22327697
4/9/15,62.79,,63,63.14,62.11,13455540
4/10/15,64.94,,64.4,65,63.95,22367093
4/13/15,67.81,,67.24,69.29,67.06,44436945
4/14/15,68.39,,68.86,69.14,67.42,28642138
4/15/15,67.92,,68.7,68.7,67.36,42528619
4/16/15,80.29,18.21%,76,81.25,75.71,104500746
4/17/15,81.65,,79.78,82.14,79.71,58306367
4/20/15,81.06,,81.79,82.3,80.38,30766400
4/21/15,80.06,,81.23,81.48,79.8,15925574
4/22/15,79.67,17.30%,80.21,80.71,79.54,12089511
4/23/15,79.87,,79.66,80.34,78.96,12687283
4/24/15,79.77,,80.17,80.81,79.51,11045237
4/27/15,80.87,,80.29,81.79,80.23,15247001
4/28/15,80.44,,80.59,81.28,79.94,8826475
4/29/15,80.41,18.39%,80.07,81.06,79.64,9540468
4/30/15,79.5,,80.24,80.84,79.12,10565254
5/1/15,79.58,,79.86,79.97,78.89,8906086
5/4/15,79.3,,79.6,79.7,78.9,7967085
5/5/15,80.79,,81.24,82.44,80.76,27116285
5/6/15,80.08,,81.03,81.21,79.52,11504507
5/7/15,80.75,,80.11,80.79,79.46,10220595
5/8/15,82.09,,81.04,82.15,80.96,13828248
5/11/15,84.28,,82.32,84.86,82.19,23882383
5/12/15,83.38,,83.81,83.81,82.99,11906972
5/13/15,82.87,,83.4,84.2,82.69,11155725
5/14/15,83.84,,83.29,83.92,82.33,8898659
5/15/15,87.61,,86.36,88.35,85.76,37053009
5/18/15,88.27,,87.54,88.53,87.02,14811944
5/19/15,88.07,,88.89,89.79,87.81,19101306
5/20/15,88.79,,88.21,89.11,87.36,12757129
5/21/15,89,,89.08,89.57,88.18,12767020
5/22/15,88.84,,89.18,89.41,88.69,7466039
5/26/15,87.99,,88.87,89.06,87.79,9645720
5/27/15,89.86,,88.14,89.91,87.93,10506412
5/28/15,89.51,,89.71,89.86,88.93,7821541
5/29/15,89.15,,89.47,90.21,88.96,12712014
6/1/15,89,,88.84,89.12,87.94,9925832
6/2/15,89.13,,88.71,89.68,88.41,7528927
6/3/15,88.81,,89.24,89.73,88.64,6237994
6/4/15,89.35,,88.38,89.43,88.04,10074379
6/5/15,90.46,,89.21,90.54,89.13,11624347
6/8/15,89.6,,90.71,90.82,89,11148914
6/9/15,92.45,,89.33,92.71,89.33,22025080
6/10/15,95.87,,93.4,98.97,93.23,57121379
6/11/15,95.09,,96.89,96.92,94.09,26623387
6/12/15,94.42,,94.92,95.34,94.12,10278821
6/15/15,93.43,,92.86,93.59,91.66,19053951
6/16/15,95.27,,94.24,95.61,93.69,16043020
6/17/15,94.27,,95.13,95.13,93.96,9905119
6/18/15,94.74,,94.65,95.34,94.37,8963122
6/19/15,93.87,,96.24,96.42,93.82,19814802
6/22/15,96.41,,95.04,96.69,94.19,16732905
6/23/15,97.31,,96.34,97.39,95.75,15626436
6/24/15,96.94,,100.01,100.89,96.4,77138796
6/25/15,94.89,,95.48,96,93.46,41623204
6/26/15,93.09,,95.3,95.31,93.09,30314697
6/29/15,92.23,,91.51,92.91,91.12,24575887
6/30/15,93.85,,93.36,94.36,92.79,16880458
7/1/15,93.64,,94.81,95.24,93.22,14699419
7/2/15,94.04,,94,94.2,93.21,11053231
7/6/15,94.57,,93.47,94.93,93.34,11808384
7/7/15,94.09,,95.01,95.43,92.62,21573272
7/8/15,93.51,,93.47,94,92.28,12990691
7/9/15,95.73,,94.9,95.85,94.29,16731316
7/10/15,97.23,,97.52,98.5,96.9,21636594
7/13/15,101.09,,98.1,102.31,98.08,33205011
7/14/15,100.37,,101.27,101.64,99.65,19736437
7/15/15,98.13,,99.97,100.75,97.05,30898594
7/16/15,115.81,18.02%,111.02,116.49,107.68,63460992
7/17/15,114.77,,117.34,117.88,114.24,25136948
7/20/15,110.55,,114.7,114.7,110.14,22676913
7/21/15,112.51,,110.21,113.71,109.32,14085422
7/22/15,111.5,13.62%,112.14,113.88,110.56,10500548
7/23/15,110.1,,110.91,112.18,109.84,8306774
7/24/15,109.34,,111.55,111.68,108.9,8125065
7/27/15,106.43,,107.79,109.86,106.25,11302624
7/28/15,106.9,,107.29,107.94,103.88,11155945
7/29/15,107.08,9.12%,106.83,107.75,105.4,6695640
7/30/15,111.56,,106.4,111.9,105.4,14229196
7/31/15,114.31,,111.95,115,111.15,16349071
8/3/15,112.56,,114.6,114.6,111.78,10144817
8/4/15,121.15,,113.15,122.79,113,29653323
8/5/15,123.71,,125.62,129.29,122.7,26946486
8/6/15,126.45,,126.29,128.85,122.04,24716746
8/7/15,123.52,,126.42,126.6,121.3,17360669
8/10/15,123.03,,126.09,126.5,121.51,13424574
8/11/15,122.74,,120.01,123.76,120,11596811
8/12/15,120.51,,121.47,122.45,118.66,13881612
8/13/15,123.73,,120.99,125.73,119.34,15284397
8/14/15,123.39,,124.96,125,123,8667683
8/17/15,125.36,,123.14,125.7,122.59,9233848
8/18/15,124.05,,125.26,126.75,123.55,9381994
8/19/15,122.06,,123.5,123.7,121.5,10115271
8/20/15,112.49,,119.8,121.45,111.34,27863377
8/21/15,103.96,,106.2,110,102.75,33058641
8/24/15,96.88,,88.75,109.63,85.5,56916512
8/25/15,101.52,,107.75,107.88,101.5,37372540
8/26/15,110.13,,107.15,110.28,102.02,35399502
8/27/15,117.66,,114.94,118.25,113.02,35741993
8/28/15,117.63,,116.35,119.35,115.88,20186334
8/31/15,115.03,,115.24,117,113.76,16855816
9/1/15,105.79,,109.35,111.24,103.82,35657755
9/2/15,105.44,,109.31,109.5,100.3,39016991
9/3/15,101.06,,102.69,104.17,100.11,29188068
9/4/15,98.79,,98.05,99.93,97.34,24130891
9/8/15,94.95,,102.08,102.5,93.55,43375535
9/9/15,99.18,,96.51,102.79,95.52,35416322
