ï»¿Date,Close,,Open,High,Low,Volume
2/18/15,22.12,,22.35,22.39,22.08,4273997
2/19/15,22.18,,22.4,22.44,22.08,4235760
2/20/15,22.34,,22.16,22.35,22,3943820
2/23/15,22.16,,22.33,22.33,22.05,3125918
2/24/15,22.31,,22.16,22.31,21.96,3733318
2/25/15,22.14,,22.22,22.32,22.04,3095526
2/26/15,22.2,,22.16,22.32,22.02,3821597
2/27/15,22.06,,22.14,22.19,21.98,3937273
3/2/15,22.6,,22,22.72,21.97,7537781
3/3/15,22.18,,22.43,22.54,22.11,4008638
3/4/15,22.43,,22.1,22.48,22.01,5670997
3/5/15,22.86,,22.43,22.9,22.37,8076425
3/6/15,22.55,,22.73,22.84,22.52,6434807
3/9/15,22.61,,22.56,22.78,22.51,5559693
3/10/15,23,,22.71,23.15,22.67,13180267
3/11/15,22.88,,23,23.3,22.82,6552965
3/12/15,22.67,,22.66,22.83,22.24,10174260
3/13/15,22.7,,22.56,22.76,22.25,8982188
3/16/15,22.97,,22.88,23.11,22.73,5923864
3/17/15,23.25,,22.92,23.26,22.76,7498556
3/18/15,22.87,,23.25,23.37,22.66,10346084
3/19/15,23.22,,22.95,23.3,22.78,7768859
3/20/15,23.47,,23.41,23.6,23.19,11552119
3/23/15,22.71,,22.77,23.07,22.7,10650277
3/24/15,22.4,,22.64,22.8,22.3,8262025
3/25/15,21.04,,22.39,22.39,20.97,13563840
3/26/15,20.96,,20.61,21.06,20.46,7797997
3/27/15,21.38,,21.09,21.46,20.75,7957152
3/30/15,21.47,,21.48,21.58,21.2,6331256
3/31/15,20.92,,21.41,21.43,20.91,8931942
4/1/15,21.01,,21.01,21.08,20.65,8269223
4/2/15,21.06,,21.13,21.19,20.88,4805086
4/6/15,21.66,,20.97,21.74,20.75,12896584
4/7/15,21.86,,21.67,22.1,21.55,10349069
4/8/15,22.02,,21.88,22.1,21.67,9160786
4/9/15,22.52,,21.85,22.6,21.84,9485827
4/10/15,22.76,,22.55,22.77,22.47,6468219
4/13/15,22.55,,22.71,22.84,22.45,5918106
4/14/15,22.36,,22.46,22.55,22.14,5506852
4/15/15,22.63,,22.42,22.8,22.31,6088960
4/16/15,22.49,,22.5,22.69,22.33,3882058
4/17/15,22.2,,22.02,22.42,22.01,7340917
4/20/15,22.09,,22.3,22.44,22.05,5790646
4/21/15,22.06,,22.36,22.36,21.95,5761365
4/22/15,22.31,,22.19,22.34,21.85,5185481
4/23/15,22.22,,21.9,22.43,21.65,6484469
4/24/15,22.03,,22.21,22.22,21.78,6023972
4/27/15,22.2,,22.1,22.59,21.91,6211356
4/28/15,22.3,,22.16,22.38,21.95,5862106
4/29/15,22.14,,22.15,22.37,22.05,4878919
4/30/15,22.2,,22.03,22.3,21.98,5471083
5/1/15,22.75,,22.38,22.82,22.28,6424185
5/4/15,22.61,,22.73,22.88,22.54,5018024
5/5/15,22.03,,22.53,22.56,21.93,7323195
5/6/15,22.1,,22.15,22.36,21.81,7912111
5/7/15,22.49,,22.01,22.56,21.94,13364077
5/8/15,20.82,-7.43%,21.01,21.84,20.49,28663778
5/11/15,20.63,,20.54,20.84,20.38,13603644
5/12/15,20.83,,20.48,21,20.47,9719994
5/13/15,20.95,,20.98,21.14,20.75,7713070
5/14/15,21.29,-5.34%,21.01,21.4,20.96,7326280
5/15/15,21.3,,21.38,21.48,21.17,5395619
5/18/15,21.27,,21.25,21.4,21.15,8124292
5/19/15,21.04,,21.2,21.27,21,6345222
5/20/15,21.04,,21.05,21.3,21.02,4920581
5/21/15,20.89,-7.11%,21.05,21.14,20.87,5992250
5/22/15,20.86,,20.94,21.02,20.81,5315282
5/26/15,20.73,,20.76,20.9,20.57,6493277
5/27/15,21.84,,20.87,21.94,20.8,10808271
5/28/15,22.14,,21.84,22.21,21.8,8191431
5/29/15,22.13,,22.14,22.28,22.1,8379244
6/1/15,22.38,,22.27,22.6,22.13,9316504
6/2/15,21.94,,22.24,22.36,21.92,5607582
6/3/15,21.7,,22,22.17,21.66,6269692
6/4/15,22.09,,21.57,22.16,21.57,8092765
6/5/15,22.26,,22.02,22.36,21.79,7833001
6/8/15,21.75,,22.19,22.34,21.5,8570301
6/9/15,21.86,,21.77,22.02,21.73,6422222
6/10/15,21.47,,21.6,21.74,21.35,13236526
6/11/15,21.7,,21.47,21.85,21.47,7076296
6/12/15,21.11,,21.56,21.69,21.06,8093164
6/15/15,21.07,,21,21.16,20.84,7663673
6/16/15,21.33,,21.03,21.36,20.82,6422253
6/17/15,21.58,,21.32,21.7,21.27,5838648
6/18/15,21.94,,21.76,22.08,21.7,7485090
6/19/15,21.87,,21.94,22.12,21.67,8891427
6/22/15,21.78,,21.91,22.03,21.45,12855929
6/23/15,21.22,,21.82,21.99,21.05,10351627
6/24/15,21.01,,21.19,21.3,20.91,6334204
6/25/15,21.17,,21.01,21.3,21.01,8761548
6/26/15,20.74,,21,21.17,20.65,10532373
6/29/15,20.12,,20.5,20.71,20.09,9793096
6/30/15,20.11,,20.24,20.33,19.97,7897857
7/1/15,20.4,,20.61,20.9,20.22,7573001
7/2/15,20.42,,20.39,20.55,20.29,3644115
7/6/15,20.17,,20.25,20.53,20.02,5369413
7/7/15,19.79,,20.05,20.13,19.16,14856327
7/8/15,19.65,,19.68,19.8,19.49,8312287
7/9/15,19.41,,19.96,20.05,19.29,8939745
7/10/15,19.75,,19.66,19.93,19.61,5417717
7/13/15,19.88,,19.95,19.99,19.74,5311791
