ï»¿Date,Close,,Open,High,Low,Volume
2/18/15,47.82,,48,48.79,47.36,15503060
2/19/15,48.7,,47.84,48.94,47.42,18153446
2/20/15,49.11,,48.76,49.88,48.65,20755575
2/23/15,48.47,,49.02,49.24,48.35,12541405
2/24/15,48.69,,48.33,49.3,48.06,11073664
2/25/15,48.55,,48.8,49.18,48.25,11663183
2/26/15,49.41,,48.81,50.01,48.64,22340876
2/27/15,48.08,,49.19,49.9,47.96,15004478
3/2/15,48.15,,48.26,48.3,47.31,13430911
3/3/15,47.71,,48.13,48.8,47.44,16754427
3/4/15,47.57,,47.51,47.85,46.41,14290082
3/5/15,47.35,,47.59,48.43,47.2,13511889
3/6/15,46.75,,47.26,48.07,46.57,11534904
3/9/15,47.59,,47.22,48.08,47.13,13635901
3/10/15,45.84,,47.23,47.26,45.79,17289874
3/11/15,46.27,,45.66,46.74,45.13,12273750
3/12/15,47.07,,46.57,47.32,46.51,12204772
3/13/15,46.66,,46.94,47.72,46.45,13368059
3/16/15,46.43,,46.9,47.07,46.05,10243160
3/17/15,46.93,,46.66,47.29,46.44,13361311
3/18/15,47.2,,46.75,47.38,46.16,13115352
3/19/15,47.93,,46.96,48.15,46.45,15957089
3/20/15,48.44,,48.36,49.15,48.25,18676496
3/23/15,48.46,,48.24,49.25,47.87,16389818
3/24/15,51.47,,48.67,51.79,48.54,38181773
3/25/15,49.5,,51.5,51.87,49.31,31694649
3/26/15,49.92,,49.65,50.9,49.4,24385783
3/27/15,50.01,,50.35,50.89,49.94,14852364
3/30/15,49.89,,50.45,50.71,48.66,20365393
3/31/15,50.08,,49.62,51.24,49.54,23898381
4/1/15,50.47,,51,51.69,50.17,24299197
4/2/15,50.42,,50.64,50.95,49.88,13423909
4/6/15,50.84,,50.03,51.16,49.87,14539680
4/7/15,52.87,,51.01,53.28,50.86,37080755
4/8/15,52.3,,53.32,53.49,51.95,22368922
4/9/15,52.17,,52.15,52.99,51.54,17877667
4/10/15,51.94,,52.29,52.45,51.38,13271155
4/13/15,51.62,,51.99,52.29,51.45,12306515
4/14/15,51.2,,51.75,51.81,50.68,12231640
4/15/15,51.3,,51.33,51.87,50.91,13192067
4/16/15,52.03,,51.3,52.34,51.14,14313301
4/17/15,50.66,,51.71,52.16,50.19,16676896
4/20/15,51.4,,51.07,51.48,50.51,11004476
4/21/15,51.32,,51.68,51.85,51.1,8461283
4/22/15,51.73,,51.48,52.09,51.32,11479493
4/23/15,51.41,,51.87,52.2,51.22,11490400
4/24/15,50.82,,51.85,51.96,50.24,14896860
4/27/15,51.66,,50.84,52.54,50.82,23991902
4/28/15,42.27,-18.18%,52.16,52.22,38.38,77336612
4/29/15,38.49,,40.21,41.09,38.07,120488557
4/30/15,38.96,,39.28,39.74,38.48,46651477
5/1/15,37.84,,39.19,39.24,37.37,37785543
5/4/15,37.88,-26.67%,38.72,38.96,37.55,27622537
5/5/15,37.42,,38,38.61,37.36,22605023
5/6/15,37.26,,37.69,37.78,36.52,29107858
5/7/15,37.71,,37.24,37.88,36.95,21258764
5/8/15,37.59,,38.02,38.2,37.55,14395832
5/11/15,37.31,-27.78%,37.58,37.86,37.2,12329491
5/12/15,37.48,,37.29,37.8,37.06,11792938
5/13/15,37.72,,37.66,38.2,37.53,14075331
5/14/15,37.33,,37.93,38.09,37.27,14259607
5/15/15,37.1,,37.36,37.8,37,16799060
5/18/15,37.28,,37.1,37.57,36.9,11237346
5/19/15,37.5,,37.14,37.88,36.9,26941996
5/20/15,36.78,,37.49,37.94,36.54,23404469
5/21/15,36.68,,36.81,36.94,36.39,17447682
5/22/15,36.6,,36.7,36.98,36.57,9861815
5/26/15,36.51,,36.67,36.83,36.37,13068502
5/27/15,36.41,,36.5,36.65,36.1,14463568
5/28/15,36.83,,36.49,37.33,36.37,17912105
5/29/15,36.67,,37.05,37.07,36.53,16849058
6/1/15,36.63,,36.69,36.83,36.43,10008279
6/2/15,36.4,,36.45,36.6,36.16,13128349
6/3/15,37,,36.51,37.17,36.48,14023524
6/4/15,36.71,,37.17,37.79,36.51,23762920
6/5/15,37,,36.79,37.23,36.65,11854282
6/8/15,36.46,,36.91,36.98,36.41,11767083
6/9/15,35.88,,36.5,36.5,35.56,14034468
6/10/15,35.85,,36.01,36.17,35.6,12634817
6/11/15,35.84,,35.92,36.17,35.79,20546962
6/12/15,35.9,,36.9,37.25,35.55,60914449
6/15/15,34.67,,35.24,35.26,34.31,32932110
6/16/15,34.82,,34.23,35.2,33.51,49856071
6/17/15,34.69,,34.99,35.12,34.17,27278532
6/18/15,34.66,,34.63,35.04,34.45,19447110
6/19/15,35.86,,34.97,36.28,34.85,33674913
6/22/15,35.55,,35.95,36,35.34,21456373
6/23/15,35.37,,35.78,36.2,34.96,25891418
6/24/15,35.17,,35.4,35.75,35.1,13020956
6/25/15,35.17,,35.36,35.36,34.96,10756756
6/26/15,35.26,,34.97,35.33,34.67,17387971
6/29/15,34.21,,34.47,35.09,34.15,25220715
6/30/15,36.22,,34.5,36.42,34.44,26095592
7/1/15,35.4,,36.05,36.11,35.24,23674620
7/2/15,35.72,,35.4,35.97,35.1,17663959
7/6/15,35.43,,35.17,35.69,35,11325391
7/7/15,35.52,,35.35,35.72,34.55,14203167
7/8/15,34.76,,35.41,36.05,34.67,15522331
7/9/15,34.36,,35.17,35.43,34.31,14099347
7/10/15,34.91,,34.68,35.12,34.46,10639720
7/13/15,35.78,,34.99,36.14,34.75,17118202
7/14/15,36.72,,35.78,38.82,35.77,50102513
7/15/15,35.66,,36.66,37.09,35.55,18296837
7/16/15,36.1,,35.89,36.45,35.75,11367681
7/17/15,35.67,,36.46,36.66,35.6,12838454
7/20/15,35.81,,35.75,35.99,35.2,9889748
7/21/15,36.63,,35.82,36.75,35.71,12536207
7/22/15,36.09,,36.23,36.37,35.51,11772251
7/23/15,36.19,,36,36.73,35.94,10407769
7/24/15,35.42,,36.41,36.41,35.3,13000824
7/27/15,34.7,,35.11,35.15,33.88,24629131
7/28/15,36.54,,34.7,36.67,34.14,57688647
7/29/15,31.24,-14.50%,32.59,33.24,31.06,92939850
7/30/15,31.47,,31.1,31.83,31.05,29438817
7/31/15,31.01,,31.38,31.62,30.85,18150252
8/3/15,29.27,,30.85,31.09,28.69,46637134
8/4/15,29.34,-19.70%,29.11,29.9,28.9,21900293
8/5/15,28.48,,29.41,29.5,28.43,21223283
8/6/15,27.54,,28.4,28.43,27.23,27612162
8/7/15,27.04,,27.8,27.9,26.87,18392551
8/10/15,29.5,,28.09,29.63,27.82,42547095
8/11/15,29.62,-18.94%,29.01,29.89,28.53,27827588
8/12/15,29.39,,29.11,29.5,28.51,18582876
8/13/15,28.54,,29.6,29.6,28.44,15003972
8/14/15,29.06,,28.5,29.27,28.45,16716347
8/17/15,29.06,,29.19,29.34,28.93,9557303
8/18/15,28.3,,28.91,29,28.3,9662803
8/19/15,27.61,,28.06,28.09,27.16,19964006
8/20/15,26,,27.15,27.48,25.92,25065228
8/21/15,25.87,,25.65,26.74,25.51,23563519
8/24/15,25.17,,23.61,26.23,21.01,30024259
8/25/15,24.38,,26.29,26.33,24.38,19680627
8/26/15,25.03,,24.8,25.29,23.83,20434430
8/27/15,26.46,,25.44,26.8,25.24,22346998
8/28/15,26.83,,26.19,26.93,26.06,12314248
8/31/15,27.79,,27.64,28.49,27.35,30568615
9/1/15,27.03,,27.23,28.12,26.77,20981383
9/2/15,27.82,,27.47,27.82,26.87,14300716
9/3/15,28.3,,28.03,29,27.81,21217229
9/4/15,28.15,,27.95,28.55,27.8,13477155
9/8/15,27.18,,28.15,28.2,27.01,19094807
9/9/15,27.18,,27.17,27.85,26.42,19318330
9/10/15,27.71,,27.07,27.83,26.95,11195157
9/11/15,27.39,,27.63,27.65,27.17,8738561
9/14/15,26.9,,27.21,27.55,26.8,11481480
9/15/15,27.17,,27.04,27.55,27,10103197
9/16/15,27.75,,27.14,28,27,13237233
9/17/15,27.41,,27.54,27.93,27.03,12764449
9/18/15,27.96,,27.04,28.25,26.99,17448234
9/21/15,27.38,,27.98,28.09,27.19,10439089
9/22/15,26.83,,27.05,27.48,26.62,13391312
9/23/15,26.79,,26.97,27.28,26.58,10807286
9/24/15,26.6,,26.51,26.64,25.4,21270013
9/25/15,25.29,,26.84,26.91,25.14,14425518
9/28/15,25.26,,24.96,25.61,24.6,17406307
9/29/15,25.59,,25.23,25.76,24.92,13380915
9/30/15,26.94,,25.94,27.33,25.88,25253305
10/1/15,24.68,,26.47,26.84,24.65,30651736
10/2/15,26.31,,24.5,26.48,24.34,23394736
10/5/15,28.15,,26.99,28.25,26.33,30801175
10/6/15,27.62,,28.16,28.4,26.75,31216096
10/7/15,29.83,,28.35,29.95,28.01,34485074
10/8/15,30.32,,29.57,31.5,29.03,36336731
10/9/15,30.85,,30.9,31.41,30.28,26646459
10/12/15,28.75,,30.3,30.77,28.6,30410162
10/13/15,29.06,,29.55,30.68,28.84,45668157
10/14/15,29.38,,29.46,29.82,28.38,27460063
10/15/15,29.71,,29.46,30.28,29.01,15790417
10/16/15,31.15,,30.08,31.4,29.36,44176849
10/19/15,30.91,,31.15,31.6,30.57,23815515
10/20/15,30.91,,30.94,31.39,30.41,15774630
10/21/15,29.3,,29.5,29.66,28.65,30361504
10/22/15,29.15,,29.24,29.8,28.74,17325447
10/23/15,30.28,,29.97,30.72,29.61,19684212
10/26/15,30.89,,30.63,31.22,30.48,16699236
10/27/15,31.34,,31.02,31.87,30.65,37100857
10/28/15,30.87,-1.50%,28.13,31.34,27.76,88839840
10/29/15,29.06,,30.58,30.7,28.93,33024457
10/30/15,28.46,,29.13,29.57,28.35,21809385
11/2/15,29.2,,28.54,29.29,28.05,18436663
11/3/15,29.13,,29.09,29.63,29.04,16659884
11/4/15,29.36,,29.36,30.15,29.23,18700364
11/5/15,28.66,,29.47,29.55,28.45,15438828
11/6/15,28.28,,28.58,28.7,28.05,13511474
11/9/15,27.09,,28.07,28.21,26.68,25481511
11/10/15,27.05,,26.81,27.17,26.25,16506775
11/11/15,26.5,,27.08,27.14,26.37,12689955
11/12/15,26.13,,26.08,26.61,25.85,12487188
11/13/15,25.18,,25.89,26.16,25.16,14129761
11/16/15,25.41,,25.33,25.78,25,12212153
11/17/15,25.23,,25.54,25.69,24.9,13217032
11/18/15,25.9,,25.17,26.09,25.16,13870934
11/19/15,26.32,,25.94,26.58,25.93,14166823
11/20/15,26.27,,26.32,26.7,26.03,10782883
11/23/15,25.2,,26.11,26.27,25.02,18045709
11/24/15,25.52,,25.17,25.55,25.02,10356351
11/25/15,26.06,,25.62,26.41,25.59,13067044
11/27/15,25.75,,25.98,26.07,25.67,4179367
11/30/15,25.4,,25.78,25.82,25.06,17246252
12/1/15,25.53,,25.39,25.58,25,14764130
12/2/15,25.4,,25.31,25.72,25.17,11654936
12/3/15,25.9,,25.48,26.06,24.91,23850709
12/4/15,25.02,,25.81,25.85,25.01,16828165
12/7/15,24.46,,24.99,25.16,24.13,16872129
12/8/15,24.99,,24.04,25.1,23.54,23621785
12/9/15,24.31,,24.98,24.98,24.19,14683738
12/10/15,25.91,,24.36,26.25,24.34,28323889
12/11/15,24.84,,25.91,26.2,24.8,23061261
12/14/15,24.92,,24.68,24.94,23.7,18056237
12/15/15,23.95,,24.52,24.69,23.7,23106575
12/16/15,24.3,,23.96,24.48,23.8,24063311
12/17/15,23.31,,24.47,24.75,23.29,17879207
12/18/15,22.99,,23.35,23.44,22.66,23066199
12/21/15,22.14,,23.02,23.04,21.99,22910612
12/22/15,22.56,,22.26,22.67,22.09,13696232
12/23/15,22.67,,22.68,22.95,22.37,13167600
12/24/15,22.97,,22.7,23.06,22.55,7910740
12/28/15,22.53,,22.9,23.32,22.5,13746540
12/29/15,22.47,,22.63,22.82,22.31,11211058
12/30/15,22.23,,22.45,22.94,22.21,15323698
12/31/15,23.14,,22.17,23.28,22.15,19479440
1/4/16,22.56,,22.64,22.84,22.11,15272743
1/5/16,21.92,,22.79,23,21.85,17077655
1/6/16,21.39,,21.62,22.18,21.18,14033627
1/7/16,20.26,,21,21.48,20.2,20759757
1/8/16,19.98,,20.51,20.72,19.6,21832259
1/11/16,19.65,,20.12,20.2,19.26,21342126
1/12/16,19.62,,19.87,20.41,19.32,14601306
1/13/16,18.68,,19.7,19.76,18.47,35745880
1/14/16,19,,18.55,19.16,17.27,37050143
1/15/16,17.94,,18.23,18.53,17.61,24238369
1/19/16,16.69,,18.18,18.18,16.43,24016992
1/20/16,17.38,,16.16,19.04,15.48,69017691
1/21/16,17.83,,17.44,18.32,16.8,26310354
1/22/16,17.84,,18.29,18.56,17.73,15548544
1/25/16,17.02,,16.8,17.45,16.51,33587750
1/26/16,17.01,,17.22,17.28,16.4,22055783
