Week,HP Weekly Average,HP Two-Week Average,HP One-Month Average,HP Two-Month Moving Average,HP Weekly Average Difference from Base,HP Two-Week Average Difference from Base,HP One-Month Average Difference from Base,HP Two-Month Average Difference from Base,PxCh,Base Sentiment,0.3520459
2/18/15,0.262588898,,,,-0.089457002,,,,,,
2/25/15,-0.09704738,0.082770759,,,-0.44909328,-0.269275141,,,,,
3/4/15,0.191661428,0.047307024,,,-0.160384472,-0.304738876,,,,,
3/11/15,0.449717652,0.32068954,0.20173015,,0.097671752,-0.03135636,-0.15031575,,,,
3/18/15,0.072107847,0.26091275,0.154109887,,-0.279938053,-0.09113315,-0.197936013,,,,
3/25/15,-0.316635991,-0.122264072,0.099212734,,-0.668681891,-0.474309972,-0.252833166,,,,
4/1/15,-1.146042777,-0.731339384,-0.235213317,,-1.498088677,-1.083385284,-0.587259217,,,,
4/8/15,0.583680764,-0.281181007,-0.201722539,3.81E-06,0.231634864,-0.633226907,-0.553768439,-0.352042095,,,
4/15/15,0.008462909,0.296071836,-0.217633774,-0.031761943,-0.343582991,-0.055974064,-0.569679674,-0.383807843,,,
4/22/15,-0.400035328,-0.195786209,-0.238483608,-0.069635437,-0.752081228,-0.547832109,-0.590529508,-0.421681337,,,
4/29/15,-0.998822494,-0.699428911,-0.201678537,-0.218445927,-1.350868394,-1.051474811,-0.553724437,-0.570491827,,,
5/6/15,-0.08208514,-0.540453817,-0.368120013,-0.284921276,-0.43413104,-0.892499717,-0.720165913,-0.636967176,,,
5/13/15,0.599579153,0.258747006,-0.220340952,-0.218987363,0.247533253,-0.093298894,-0.572386852,-0.571033263,,,
5/20/15,0.307685643,0.453632398,-0.04341071,-0.140947159,-0.044360257,0.101586498,-0.39545661,-0.492993059,,,
5/27/15,0.986403177,0.64704441,0.452895708,0.125608585,0.634357277,0.29499851,0.100849808,-0.226437315,,,
6/3/15,-2.794927114,-0.904261968,-0.225314785,-0.296717399,-3.146973014,-1.256307868,-0.577360685,-0.648763299,,,
6/10/15,-0.332509077,-1.563718095,-0.458336843,-0.339338897,-0.684554977,-1.915763995,-0.810382743,-0.691384797,,,
6/17/15,1.216270084,0.441880504,-0.231190732,-0.137300721,0.864224184,0.089834604,-0.583236632,-0.489346621,,,
6/24/15,0.777176827,0.996723456,-0.28349732,0.084699194,0.425130927,0.644677556,-0.63554322,-0.267346706,,,
7/1/15,-0.068652492,0.354262168,0.398071336,0.086378275,-0.420698392,0.002216268,0.046025436,-0.265667625,,,
7/8/15,0.806526208,0.368936858,0.682830157,0.112246657,0.454480308,0.016890958,0.330784257,-0.239799243,,,
7/15/15,1.036096833,0.92131152,0.637786844,0.203298056,0.684050933,0.56926562,0.285740944,-0.148747844,,,
7/22/15,0.680317182,0.858207007,0.613571932,0.165037306,0.328271282,0.506161107,0.261526032,-0.187008594,,,
7/29/15,1.14471044,0.912513811,0.916912665,0.657492001,0.79266454,0.560467911,0.564866765,0.305446101,,,
8/5/15,-0.236374149,0.454168145,0.656187576,0.669508866,-0.588420049,0.102122245,0.304141676,0.317462966,,,
8/12/15,0.460377302,0.112001576,0.512257694,0.575022269,0.108331402,-0.240044324,0.160211794,0.222976369,,,
8/19/15,-0.558914225,-0.049268461,0.202449842,0.408010887,-0.910960125,-0.401314361,-0.149596058,0.055964987,,,
8/26/15,0.642426913,0.041756344,0.07687896,0.496895813,0.290381013,-0.310289556,-0.27516694,0.144849913,,,
9/2/15,0.798974024,0.720700468,0.335716004,0.49595179,0.446928124,0.368654568,-0.016329896,0.14390589,,,
9/9/15,-1.540131862,-0.370578919,-0.164411288,0.173923203,-1.892177762,-0.722624819,-0.516457188,-0.178122697,,,
9/16/15,-1.234910015,-1.387520938,-0.333410235,-0.065480196,-1.586955915,-1.739566838,-0.685456135,-0.417526096,,,
9/23/15,-0.287393096,-0.761151555,-0.565865237,-0.244493138,-0.639438996,-1.113197455,-0.917911137,-0.596539038,,,
9/30/15,-0.497927466,-0.392660281,-0.89009061,-0.277187303,-0.849973366,-0.744706181,-1.24213651,-0.629233203,,,
10/7/15,0.559872386,0.03097246,-0.365089548,-0.264750418,0.207826486,-0.32107344,-0.717135448,-0.616796318,,,
10/14/15,0.430220712,0.495046549,0.051193134,-0.14110855,0.078174812,0.143000649,-0.300852766,-0.49315445,,,
