Week,IBM Weekly Average,IBM Two-Week Average,IBM One-Month Average,IBM Two-Month Moving Average,IBM Weekly Average Difference from Base,IBM Two-Week Average Difference from Base,IBM One-Month Average Difference from Base,IBM Two-Month Average Difference from Base,PxCh,Base Sentiment,1.18027
2/18/15,1.8680744,,,,0.6878044,,,,,,
2/25/15,0.366943993,1.117509196,,,-0.813326007,-0.062760804,,,,,
3/4/15,1.457056216,0.912000104,,,0.276786216,-0.268269896,,,,,
3/11/15,0.852749902,1.154903059,1.136206128,,-0.327520098,-0.025366941,-0.044063872,,,,
3/18/15,0.817431179,0.835090541,0.873545322,,-0.362838821,-0.345179459,-0.306724678,,,,
3/25/15,1.03075108,0.92409113,1.039497094,,-0.14951892,-0.25617887,-0.140772906,,,,
4/1/15,0.491104177,0.760927628,0.798009084,,-0.689165823,-0.419342372,-0.382260916,,,,
4/8/15,2.617374437,1.554239307,1.239165218,1.187685673,1.437104437,0.373969307,0.058895218,0.007415673,,,
4/15/15,0.220136113,1.418755275,1.089841452,0.981693387,-0.960133887,0.238485275,-0.090428548,-0.198576613,,,
4/22/15,1.124834759,0.672485436,1.113362372,1.076429733,-0.055435241,-0.507784564,-0.066907628,-0.103840267,,,
4/29/15,0.239390396,0.682112577,1.050433926,0.924221505,-0.940879604,-0.498157423,-0.129836074,-0.256048495,,,
5/6/15,1.223061607,0.731226001,0.701855719,0.970510468,0.042791607,-0.449043999,-0.478414281,-0.209759532,,,
5/13/15,0.956562084,1.089811845,0.885962211,0.987901831,-0.223707916,-0.090458155,-0.294307789,-0.192368169,,,
5/20/15,1.172952176,1.06475713,0.897991565,1.005676968,-0.007317824,-0.11551287,-0.282278435,-0.174593032,,,
5/27/15,0.936520027,1.054736102,1.072273973,1.06135395,-0.243749973,-0.125533898,-0.107996027,-0.11891605,,,
6/3/15,1.847201731,1.391860879,1.228309004,0.965082362,0.666931731,0.211590879,0.048039004,-0.215187638,,,
6/10/15,1.816336578,1.831769154,1.443252628,1.16460742,0.636066578,0.651499154,0.262982628,-0.01566258,,,
6/17/15,0.648825742,1.23258116,1.31222102,1.105106293,-0.531444258,0.05231116,0.13195102,-0.075163707,,,
6/24/15,1.891874672,1.270350207,1.551059681,1.311666827,0.711604672,0.090080207,0.370789681,0.131396827,,,
7/1/15,1.772489537,1.832182105,1.532381632,1.380345318,0.592219537,0.651912105,0.352111632,0.200075318,,,
7/8/15,0.950459364,1.361474451,1.315912329,1.379582478,-0.229810636,0.181204451,0.135642329,0.199312478,,,
7/15/15,0.235338149,0.592898757,1.212540431,1.262380725,-0.944931851,-0.587371243,0.032270431,0.082110725,,,
7/22/15,0.77587436,0.505606255,0.933540353,1.242300017,-0.40439564,-0.674663745,-0.246729647,0.062030017,,,
7/29/15,1.430389267,1.103131813,0.848015285,1.190198459,0.250119267,-0.077138187,-0.332254715,0.009928459,,,
8/5/15,2.102747753,1.76656851,1.136087382,1.225999856,0.922477753,0.58629851,-0.044182618,0.045729856,,,
8/12/15,1.567044131,1.834895942,1.469013878,1.340777154,0.386774131,0.654625942,0.288743878,0.160507154,,,
8/19/15,1.219439189,1.39324166,1.579905085,1.256722719,0.039169189,0.21297166,0.399635085,0.076452719,,,
