Week,Intel Weekly Average,Intel Two-Week Average,Intel One-Month Average,Intel Two-Month Moving Average,Intel Weekly Average Difference from Base,Intel Two-Week Average Difference from Base,Intel One-Month Average Difference from Base,Intel Two-Month Average Difference from Base,PxCh,Base Sentiment,0.805424
2/18/15,0.299098822,,,,-0.506325178,,,,,,
2/25/15,0.64954863,0.474323726,,,-0.15587537,-0.331100274,,,,,
3/4/15,3.491233714,2.070391172,,,2.685809714,1.264967172,,,,,
3/11/15,0.866742694,2.178988204,1.326655965,,0.061318694,1.373564204,0.521231965,,,,
3/18/15,2.213851821,1.540297257,1.805344215,,1.408427821,0.734873257,0.999920215,,,,
3/25/15,0.159246374,1.186549097,1.682768651,,-0.646177626,0.381125097,0.877344651,,,,
4/1/15,0.814963308,0.487104841,1.013701049,,0.009539308,-0.318319159,0.208277049,,,,
4/8/15,0.433235222,0.624099265,0.905324181,1.115990073,-0.372188778,-0.181324735,0.099900181,0.310566073,,,
4/15/15,0.602707901,0.517971561,0.502538201,1.153941208,-0.202716099,-0.287452439,-0.302885799,0.348517208,,,
4/22/15,1.112726549,0.857717225,0.740908245,1.211838448,0.307302549,0.052293225,-0.064515755,0.406414448,,,
4/29/15,0.754931585,0.933829067,0.725900314,0.869800682,-0.050492415,0.128405067,-0.079523686,0.064376682,,,
5/6/15,1.253464141,1.004197863,0.930957544,0.918140862,0.448040141,0.198773863,0.125533544,0.112716862,,,
5/13/15,1.419131677,1.336297909,1.135063488,0.818800845,0.613707677,0.530873909,0.329639488,0.013376845,,,
5/20/15,1.474294816,1.446713247,1.225455555,0.9831819,0.668870816,0.641289247,0.420031555,0.1777579,,,
5/27/15,0.844768879,1.159531848,1.247914878,0.986907596,0.039344879,0.354107848,0.442490878,0.181483596,,,
6/3/15,1.349081922,1.096925401,1.271819324,1.101388434,0.543657922,0.291501401,0.466395324,0.295964434,,,
