Week,Micron Weekly Average,Micron Two-Week Average,Micron One-Month Average,Micron Two-Month Moving Average,Micron Weekly Average Difference from Base,Micron Two-Week Average Difference from Base,Micron One-Month Average Difference from Base,Micron Two-Month Average Difference from Base,PxCh,Base Sentiment,0.316375,Micron One-Week Average Transformation
2/18/15,1.22741027,,,,0.91103527,,,,,,,18.59187189
2/25/15,0.911497741,1.069454006,,,0.595122741,0.753079006,,,,,,16.38048419
3/4/15,0.879185419,0.89534158,,,0.562810419,0.57896658,,,,,,16.15429793
3/11/15,0.906913956,0.893049688,0.981251847,,0.590538956,0.576674688,0.664876847,,,,,16.34839769
3/18/15,0.777324765,0.84211936,0.86873047,,0.460949765,0.52574436,0.55235547,,,,,15.44127336
3/25/15,0.940890062,0.859107413,0.87607855,,0.624515062,0.542732413,0.55970355,,,,,16.58623043
4/1/15,0.311259424,0.626074743,0.734097052,,-0.005115576,0.309699743,0.417722052,,,,,12.17881597
4/8/15,0.528805629,0.420032527,0.63956997,0.810410908,0.212430629,0.103657527,0.32319497,0.494035908,,,,13.7016394
4/16/15,0.850574529,0.689690079,0.657882411,0.763306441,0.534199529,0.373315079,0.341507411,0.446931441,,,,15.9540217
4/23/15,0.01782432,0.434199425,0.427115976,0.651597263,-0.29855068,0.117824425,0.110740976,0.335222263,,,,10.12477024
4/30/15,0.883239705,0.450532013,0.570111046,0.652104049,0.566864705,0.134157013,0.253736046,0.335729049,,,,16.18267794
5/7/15,0.884129338,0.883684522,0.658941973,0.649255972,0.567754338,0.567309521,0.342566973,0.332880972,,,,16.18890537
5/14/15,0.158272337,0.521200837,0.485866425,0.571874418,-0.158102663,0.204825837,0.169491425,0.255499418,,,,11.10790636
5/22/15,1.140546145,0.649409241,0.766546881,0.596831429,0.824171145,0.333034241,0.450171881,0.280456429,,,,17.98382302
5/29/15,2.308619488,1.724582816,1.122891827,0.846501436,1.992244488,1.408207816,0.806516827,0.530126436,,,,26.16033642
6/5/15,-0.211312629,1.048653429,0.849031335,0.753986654,-0.527687629,0.732278429,0.532656335,0.437611654,,,,8.520811597
6/12/15,-0.493147196,-0.352229912,0.686176452,0.586021438,-0.809522196,-0.668604912,0.369801452,0.269646438,,,,6.547969628
6/19/15,0.312836831,-0.090155182,0.479249123,0.622898002,-0.003538169,-0.406530182,0.162874123,0.306523002,,,,12.18985782
6/26/15,-0.454374743,-0.070768956,-0.211499434,0.455696196,-0.770749743,-0.387143956,-0.527874434,0.139321196,,,,6.819376799
7/4/15,0.55944033,0.052532794,-0.018811194,0.41511007,0.24306533,-0.263842206,-0.335186194,0.09873507,,,,13.91608231
7/11/15,-0.30782461,0.12580786,0.027519452,0.356847952,-0.62419961,-0.19056714,-0.288855548,0.040472952,,,,7.84522773
7/18/15,-0.805370797,-0.556597704,-0.252032455,0.113608334,-1.121745797,-0.872972704,-0.568407455,-0.202766666,,,,4.362404421
7/25/15,0.75090235,-0.027234224,0.049286818,-0.081106308,0.43452735,-0.343609224,-0.267088182,-0.397481308,,,,15.25631645
8/1/15,0.646170649,0.6985365,0.070969398,0.026079102,0.329795649,0.3821615,-0.245405602,-0.290295898,,,,14.52319454
8/8/15,-0.063386931,0.291391859,0.132078818,0.079799135,-0.379761931,-0.024983141,-0.184296182,-0.236575865,,,,9.556291483
8/15/15,-0.251640833,-0.157513882,0.270511309,0.009239427,-0.568015833,-0.473888882,-0.045863691,-0.307135573,,,,8.238514169
8/22/15,-0.241409677,-0.246525255,0.022433302,0.03586006,-0.557784677,-0.562900255,-0.293941698,-0.28051494,,,,8.310132261
8/29/15,-0.076784818,-0.159097247,-0.158305565,-0.043668083,-0.393159818,-0.475472247,-0.474680565,-0.360043083,,,,9.462506274
9/5/15,0.291132918,0.10717405,-0.069675603,0.031201608,-0.025242082,-0.20920095,-0.386050603,-0.285173392,,,,12.03793043
9/12/15,0.323715991,0.307424454,0.074163603,0.172337456,0.007340991,-0.008950546,-0.242211397,-0.144037544,,,,12.26601194
9/19/15,-0.415202449,-0.045743229,0.03071541,0.026574356,-0.731577449,-0.362118229,-0.28565959,-0.289800644,,,,7.093582857
