v2tone,sourcecommonname,themes,date,ECON,ENV,SOCIAL,LEGAL,LEAD,year,month,day,date format
0.688705234,octafinance.com,TAX_ECON_PRICE;ECON_STOCKMARKET;TAX_FNCACT;TAX_FNCACT_ANALYST;WB_698_TRADE;TAX_FNCACT_ANALYSTS;EPU_ECONOMY_HISTORIC;WB_678_DIGITAL_GOVERNMENT;WB_2944_SERVERS;WB_671_STORAGE_MANAGEMENT;WB_667_ICT_INFRASTRUCTURE;WB_672_NETWORK_MANAGEMENT;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;WB_135_TRANSPORT;WB_1174_WAREHOUSING_AND_STORAGE;WB_793_TRANSPORT_AND_LOGISTICS_SERVICES;,2.01704E+13,1,0,0,0,0,2017,04,02,4/2/17 23:30
-2.610441767,investorplace.com,ECON_STOCKMARKET;KILL;CRISISLEX_CRISISLEXREC;CRISISLEX_T02_INJURED;CRISISLEX_T03_DEAD;TAX_ECON_PRICE;WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;,2.01607E+13,1,0,0,0,0,2016,07,18,7/18/16 17:15
1.861252115,benchmarkmonitor.com,TAX_FNCACT;TAX_FNCACT_MOVERS;ECON_STOCKMARKET;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_HEADQUARTERS;ENV_SOLAR;TAX_FNCACT_CHIEF;TAX_FNCACT_EXECUTIVE;TAX_FNCACT_CHIEF_EXECUTIVE;LEADER;TAX_FNCACT_GOVERNOR;TAX_FNCACT_MAYOR;TAX_FNCACT_SPOKESWOMAN;TAX_FNCACT_BISHOP;TAX_FNCACT_OFFICIALS;EPU_ECONOMY_HISTORIC;TAX_ECON_PRICE;TAX_FNCACT_ANALYSTS;TAX_FNCACT_ANALYST;MOVEMENT_GENERAL;WB_698_TRADE;,2.01704E+13,1,1,0,0,1,2017,04,03,4/3/17 6:15
-1.209677419,nasdaq.com,,2.01607E+13,0,0,0,0,0,2016,07,18,7/18/16 20:30
0.932400932,wkrb13.com,TAX_ECON_PRICE;LEADER;TAX_FNCACT;TAX_FNCACT_PRESIDENT;USPEC_POLITICS_GENERAL1;TAX_FNCACT_VICE_PRESIDENT;EPU_CATS_REGULATION;EPU_CATS_FINANCIAL_REGULATION;WB_698_TRADE;TAX_FNCACT_MANUFACTURER;TAX_FNCACT_ANALYSTS;LEGISLATION;WB_845_LEGAL_AND_REGULATORY_FRAMEWORK;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_1040_COPYRIGHT_LAW;WB_851_INTELLECTUAL_PROPERTY_RIGHTS;WB_1039_PROPERTY_LAWS_AND_REGULATIONS;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_LAW;TAX_FNCACT_ANALYST;,2.01704E+13,0,0,0,1,1,2017,04,03,4/3/17 9:15
-3.561643836,nasdaq.com,WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;ECON_STOCKMARKET;TAX_FNCACT;TAX_FNCACT_VICTIM;CRISISLEX_CRISISLEXREC;TAX_FNCACT_INVESTOR;EPU_CATS_MIGRATION_FEAR_FEAR;MANMADE_DISASTER_IMPLIED;WB_2299_PIPELINES;WB_539_OIL_AND_GAS_POLICY_STRATEGY_AND_INSTITUTIONS;WB_507_ENERGY_AND_EXTRACTIVES;WB_548_PPP_IN_OIL_AND_GAS;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_723_PUBLIC_ADMINISTRATION;WB_2085_PUBLIC_SECTOR_DOWNSIZING;WB_2054_SIZE_OF_THE_PUBLIC_SERVICE;WB_724_HUMAN_RESOURCES_FOR_PUBLIC_SECTOR;WB_1150_VOLATILITY;WB_1104_MACROECONOMIC_VULNERABILITY_AND_DEBT;CRISISLEX_T11_UPDATESSYMPATHY;WB_2433_CONFLICT_AND_VIOLENCE;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;WB_698_TRADE;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_BEARISHNESS;ECON_IPO;EPU_ECONOMY_HISTORIC;TAX_DISEASE;TAX_DISEASE_GAMBLING;TAX_FNCACT_AUTHOR;,2.01607E+13,1,0,0,0,0,2016,07,20,7/20/16 22:00
-3.378378378,investorplace.com,ECON_STOCKMARKET;TAX_FNCACT;TAX_FNCACT_VICTIM;CRISISLEX_CRISISLEXREC;TAX_FNCACT_INVESTOR;EPU_CATS_MIGRATION_FEAR_FEAR;MANMADE_DISASTER_IMPLIED;WB_2299_PIPELINES;WB_539_OIL_AND_GAS_POLICY_STRATEGY_AND_INSTITUTIONS;WB_507_ENERGY_AND_EXTRACTIVES;WB_548_PPP_IN_OIL_AND_GAS;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_723_PUBLIC_ADMINISTRATION;WB_2085_PUBLIC_SECTOR_DOWNSIZING;WB_2054_SIZE_OF_THE_PUBLIC_SERVICE;WB_724_HUMAN_RESOURCES_FOR_PUBLIC_SECTOR;WB_1150_VOLATILITY;WB_1104_MACROECONOMIC_VULNERABILITY_AND_DEBT;CRISISLEX_T11_UPDATESSYMPATHY;WB_2433_CONFLICT_AND_VIOLENCE;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;WB_698_TRADE;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_BEARISHNESS;ECON_IPO;EPU_ECONOMY_HISTORIC;TAX_DISEASE;TAX_DISEASE_GAMBLING;WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;,2.01607E+13,1,0,0,0,0,2016,07,20,7/20/16 17:15
-0.441501104,nasdaq.com,ECON_STOCKMARKET;GENERAL_HEALTH;MEDICAL;TAX_FNCACT;TAX_FNCACT_DOCTOR;TAX_WORLDFISH;TAX_WORLDFISH_PERCH;WB_1150_VOLATILITY;WB_1104_MACROECONOMIC_VULNERABILITY_AND_DEBT;TAX_ECON_PRICE;KIDNAP;TAX_FNCACT_BUYER;WB_698_TRADE;,2.01608E+13,1,0,0,0,0,2016,08,03,8/3/16 23:15
0.69124424,forbes.com,ECON_DEBT;WB_1104_MACROECONOMIC_VULNERABILITY_AND_DEBT;WB_450_DEBT;DELAY;USPEC_UNCERTAINTY1;EPU_UNCERTAINTY;UNGP_FORESTS_RIVERS_OCEANS;TAX_ECON_PRICE;TAX_FNCACT;TAX_FNCACT_ANALYSTS;ECON_EARNINGSREPORT;MEDIA_SOCIAL;ECON_STOCKMARKET;,2.01606E+13,1,0,0,0,0,2016,06,30,6/30/16 10:15
1.470588235,mrtopstep.com,TAX_ECON_PRICE;,2.01606E+13,0,0,0,0,0,2016,06,27,6/27/16 22:45
