Week,Microsoft Weekly Average,Microsoft Two-Week Average,Microsoft One-Month Average,Microsoft Two-Month Moving Average,Microsoft Weekly Average Difference from Base,Microsoft Two-Week Average Difference from Base,Microsoft One-Month Average Difference from Base,Microsoft Two-Month Average Difference from Base,PxCh,Base Sentiment,0.7686346
2/18/15,1.351891878,,,,0.583257278,,,,,,
2/25/15,1.119800471,1.235846174,,,0.351165871,0.467211574,,,,,
3/4/15,-0.091595802,0.514102334,,,-0.860230402,-0.254532266,,,,,
3/11/15,0.457916616,0.183160407,0.709503291,,-0.310717984,-0.585474193,-0.059131309,,,,
3/18/15,0.689708129,0.573812373,0.543957354,,-0.078926471,-0.194822227,-0.224677246,,,,
3/25/15,1.048377976,0.869043052,0.52610173,,0.279743376,0.100408452,-0.24253287,,,,
4/1/15,0.902450479,0.975414227,0.7746133,,0.133815879,0.206779627,0.0059787,,,,
4/8/15,0.176539328,0.539494904,0.704268978,0.706886134,-0.592095272,-0.229139696,-0.064365622,-0.061748466,,,
4/15/15,1.196143536,0.686341432,0.83087783,0.687417592,0.427508936,-0.082293168,0.06224323,-0.081217008,,,
4/22/15,0.559367655,0.877755595,0.708625249,0.61736349,-0.209266945,0.109120995,-0.060009351,-0.15127111,,,
4/29/15,0.915950337,0.737658996,0.712000214,0.743306757,0.147315737,-0.030975604,-0.056634386,-0.025327843,,,
5/6/15,0.819572477,0.867761407,0.872758501,0.78851374,0.050937877,0.099126807,0.104123901,0.01987914,,,
5/13/15,0.989925902,0.90474919,0.821204093,0.826040961,0.221291302,0.13611459,0.052569493,0.057406361,,,
5/20/15,1.182504449,1.086215175,0.976988291,0.84280677,0.413869849,0.317580575,0.208353691,0.07417217,,,
5/27/15,1.782326267,1.482415358,1.193582274,0.952791244,1.013691667,0.713780758,0.424947674,0.184156644,,,
6/3/15,1.464129264,1.623227765,1.35472147,1.113739986,0.695494664,0.854593165,0.58608687,0.345105386,,,
6/10/15,0.787906525,1.126017894,1.304216626,1.062710359,0.019271925,0.357383294,0.535582026,0.294075759,,,
6/17/15,1.068535002,0.928220764,1.275724264,1.126356278,0.299900402,0.159586164,0.507089664,0.357721678,,,
6/24/15,1.139880209,1.104207606,1.11511275,1.154347512,0.371245609,0.335573006,0.34647815,0.385712912,,,
7/1/15,1.263419219,1.201649714,1.064935239,1.209828355,0.494784619,0.433015114,0.296300639,0.441193755,,,
7/8/15,0.304988787,0.784204003,0.944205804,1.124211215,-0.463645813,0.015569403,0.175571204,0.355576615,,,
7/15/15,0.719843251,0.512416019,0.857032867,1.066378566,-0.048791349,-0.256218581,0.088398267,0.297743966,,,
7/22/15,0.174812625,0.447327938,0.615765971,0.86543936,-0.593821975,-0.321306662,-0.152868629,0.09680476,,,
7/29/15,1.156651252,0.665731939,0.589073979,0.827004609,0.388016652,-0.102902661,-0.179560621,0.058370009,,,
8/5/15,1.315731582,1.236191417,0.841759678,0.892982741,0.547096982,0.467556817,0.073125078,0.124348141,,,
8/12/15,0.486801509,0.901266545,0.783499242,0.820266054,-0.281833091,0.132631945,0.014864642,0.051631454,,,
8/19/15,0.084290109,0.285545809,0.760868613,0.688317292,-0.684344491,-0.483088791,-0.007765987,-0.080317308,,,
8/26/15,0.722745418,0.403517764,0.652392155,0.620733067,-0.045889182,-0.365116836,-0.116242445,-0.147901533,,,
9/2/15,1.010671731,0.866708575,0.576127192,0.708943435,0.242037131,0.098073975,-0.192507408,-0.059691165,,,
9/9/15,0.861244428,0.93595808,0.669737922,0.726618582,0.092609828,0.16732348,-0.098896678,-0.042016018,,,
9/16/15,0.949124674,0.905184551,0.885946563,0.823407588,0.180490074,0.136549951,0.117311963,0.054772988,,,
9/23/15,1.336444234,1.142784454,1.039371267,0.845881711,0.567809634,0.374149854,0.270736667,0.077247111,,,
