Week,Average,Two-Week Average,One-Month Average,Two-Month Moving Average,Weekly Average Diff From Base,Two-Week Average Diff From Base,One-Month Average Diff From Base,Two-Month Average Diff From Base,PxCh,Base Sentiment,0.4075891
2/18/2015,1.269991433,,,,0.862402333,,,,,,
2/25/2015,0.523955301,0.896973367,,,0.116366201,0.489384267,,,,,
3/4/2015,0.985724686,0.754839994,,,0.578135586,0.347250894,,,,,
3/11/2015,0.433504556,0.709614621,0.803293994,,0.025915456,0.302025521,0.395704894,,,,
3/18/2015,0.302126564,0.36781556,0.561327777,,-0.105462536,-0.03977354,0.153738677,,,,
3/25/2015,0.039061386,0.170593975,0.440104298,,-0.368527714,-0.236995125,0.032515198,,,,
4/1/2015,0.786563427,0.412812407,0.390313983,,0.378974327,0.005223307,-0.017275117,,,,
4/8/2015,0.125388648,0.455976038,0.313285006,0.5582895,-0.282200452,0.048386938,-0.094304094,0.1507004,,,
4/15/2015,0.763600391,0.444494519,0.428653463,0.49499062,0.356011291,0.036905419,0.021064363,0.08740152,,,
4/22/2015,0.935470329,0.84953536,0.652755699,0.546429998,0.527881229,0.44194626,0.245166599,0.138840898,,,
4/29/2015,0.664409112,0.799939721,0.62221712,0.506265552,0.256820012,0.392350621,0.21462802,0.098676452,,,
5/6/2015,0.786232142,0.725320627,0.787427993,0.5503565,0.378643042,0.317731527,0.379838893,0.1427674,,,
5/13/2015,0.111756407,0.448994275,0.624466998,0.52656023,-0.295832693,0.041405175,0.216877898,0.11897113,,,
5/20/2015,-0.735240423,-0.311742008,0.206789309,0.429772504,-1.142829523,-0.719331108,-0.200799791,0.022183404,,,
5/27/2015,0.594600104,-0.07032016,0.189337057,0.405777089,0.187011004,-0.47790926,-0.218252043,-0.001812011,,,
6/3/2015,0.318273861,0.456436982,0.072347487,0.42988774,-0.089315239,0.048847882,-0.335241613,0.02229864,,,
6/10/2015,0.748124915,0.533199388,0.231439614,0.427953306,0.340535815,0.125610288,-0.176149486,0.020364206,,,
