Week,Nvidia Weekly Average,Nvidia Two-Week Average,Nvidia One-Month Average,Nvidia Two-Month Moving Average,Nvidia Weekly Average Difference from Base,Nvidia Two-Week Average Difference from Base,Nvidia One-Month Average Difference from Base,Nvidia Two-Month Average Difference from Base,PxCh,Base Sentiment,1.1795424
2/18/15,-0.568372972,,,,-1.747915372,,,,,,
2/25/15,0.266022609,-0.151175181,,,-0.913519791,-1.330717581,,,,,
3/4/15,2.546236494,1.406129552,,,1.366694094,0.226587152,,,,,
3/11/15,1.491547438,2.018891966,0.933858392,,0.312005038,0.839349566,-0.245684008,,,,
3/18/15,1.706069271,1.598808355,1.502468953,,0.526526871,0.419265955,0.322926553,,,,
3/25/15,1.297787588,1.50192843,1.760410198,,0.118245188,0.32238603,0.580867798,,,,
4/1/15,1.020429383,1.159108485,1.37895842,,-0.159113017,-0.020433915,0.19941602,,,,
4/8/15,1.132716329,1.076572856,1.289250643,1.111554517,-0.046826071,-0.102969544,0.109708243,-0.067987883,,,
4/15/15,0.442978545,0.787847437,0.973477961,1.237973457,-0.736563855,-0.391694963,-0.206064439,0.058431057,,,
4/22/15,0.956544539,0.699761542,0.888167199,1.324288698,-0.222997861,-0.479780858,-0.291375201,0.144746298,,,
4/29/15,1.444723741,1.20063414,0.994240788,1.186599604,0.265181341,0.02109174,-0.185301612,0.007057204,,,
5/6/15,0.859003024,1.151863383,0.925812462,1.107531553,-0.320539376,-0.027679017,-0.253729938,-0.072010847,,,
5/13/15,1.231118987,1.045061006,1.122847573,1.048162767,0.051576587,-0.134481394,-0.056694827,-0.131379633,,,
5/20/15,0.417635942,0.824377464,0.988120423,0.938143811,-0.761906458,-0.355164936,-0.191421977,-0.241398589,,,
5/27/15,1.890873798,1.15425487,1.099657938,1.046949363,0.711331398,-0.02528753,-0.079884462,-0.132593037,,,
6/3/15,1.129355775,1.510114787,1.167246126,1.046529294,-0.050186625,0.330572387,-0.012296274,-0.133013106,,,
6/10/15,1.707970048,1.418662912,1.286458891,1.204653232,0.528427648,0.239120512,0.106916491,0.025110832,,,
6/17/15,1.026629927,1.367299988,1.438707387,1.213413905,-0.152912473,0.187757588,0.259164987,0.033871505,,,
6/24/15,0.602530521,0.814580224,1.116621568,1.108139753,-0.577011879,-0.364962176,-0.062920832,-0.071402647,,,
7/1/15,1.510172917,1.056351719,1.211825853,1.189535989,0.330630517,-0.123190681,0.032283453,0.009993589,,,
7/8/15,2.324363282,1.917268099,1.365924162,1.326191526,1.144820882,0.737725699,0.186381762,0.146649126,,,
7/15/15,1.415987963,1.870175622,1.463263671,1.450985529,0.236445563,0.690633222,0.283721271,0.271443129,,,
7/22/15,1.447068515,1.431528239,1.674398169,1.395509869,0.267526115,0.251985839,0.494855769,0.215967469,,,
7/29/15,0.214619686,0.8308441,1.350509861,1.281167857,-0.964922714,-0.3486983,0.170967461,0.101625457,,,
8/5/15,1.26446923,0.739544458,1.085536348,1.225730255,0.08492683,-0.439997942,-0.094006052,0.046187855,,,
8/12/15,0.782859914,1.023664572,0.927254336,1.195259003,-0.396682486,-0.155877828,-0.252288064,0.015716603,,,
8/19/15,1.204748854,0.993804384,0.866674421,1.270536295,0.025206454,-0.185738016,-0.312867979,0.090993895,,,
8/26/15,1.37693769,1.290843272,1.157253922,1.253881892,0.19739529,0.111300872,-0.022288478,0.074339492,,,
9/2/15,1.466984495,1.421961093,1.207882738,1.146709543,0.287442095,0.242418693,0.028340338,-0.032832857,,,
9/9/15,1.474592049,1.470788272,1.380815772,1.154035054,0.295049649,0.291245872,0.201273372,-0.025507346,,,
9/16/15,1.459968244,1.467280147,1.44462062,1.15564752,0.280425844,0.287737747,0.26507822,-0.02389488,,,
9/23/15,1.416591854,1.438280049,1.454534161,1.305894041,0.237049454,0.258737649,0.274991761,0.126351641,,,
9/30/15,2.096086578,1.756339216,1.611809681,1.40984621,0.916544178,0.576796816,0.432267281,0.23030381,,,
10/7/15,-0.716821705,0.689632436,1.063956243,1.222386007,-1.896364105,-0.489909964,-0.115586157,0.042843607,,,
10/14/15,1.368415182,0.325796738,1.041067977,1.242844298,0.188872782,-0.853745662,-0.138474423,0.063301898,,,
10/23/15,0.74556477,1.056989976,0.873311206,1.163922683,-0.43397763,-0.122552424,-0.306231194,-0.015619717,,,
10/30/15,0.896415688,0.820990229,0.573393484,1.092601582,-0.283126712,-0.358552171,-0.606148916,-0.086940818,,,
11/6/15,1.143438982,1.019927335,1.038458655,1.051207449,-0.036103418,-0.159615065,-0.141083745,-0.128334951,,,
11/13/15,2.139033689,1.641236335,1.231113282,1.13609063,0.959491289,0.461693935,0.051570882,-0.04345177,,,
11/20/15,1.774882303,1.956957996,1.488442665,1.180876936,0.595339903,0.777415596,0.308900265,0.001334536,,,
11/27/15,1.078155726,1.426519014,1.533877675,1.053635579,-0.101386674,0.246976614,0.354335275,-0.125906821,,,
12/4/15,1.923153766,1.500654746,1.728806371,1.383632513,0.743611366,0.321112346,0.549263971,0.204090113,,,
12/11/15,0.194151933,1.05865285,1.242585932,1.236849607,-0.985390467,-0.12088955,0.063043532,0.057307207,,,
