,min,max,avg,std,,
micron,-7.339449541,9.448818898,0.316374909,1.708393314,,micron
microsoft,-7.339449541,9.448818898,0.316374909,1.708393314,,microsoft
amd,-5.729166667,9.615384615,1.180356376,1.905180964,,amd
apple,-19,9.365558912,0.112316512,2.11466666,,apple
nvidia,-14.28571429,19.04761905,1.17954237,2.122982401,,nvidia
intel,-13.46153846,19.35483871,0.805423964,2.204012885,,
hp,-9.726443769,16.47058824,0.35204589,2.209873339,,intel
amazon,-10.71428571,11.76470588,0.738305097,2.336074088,,hp
facebook,-12.4137931,10.63829787,-0.284813887,2.45427694,,amazon
ibm,-14.34108527,11.98156682,1.180269956,2.458894566,,facebook
netflix,-16.66666667,33.82352941,0.407589142,2.483562449,,
google,-13.33333333,11.86440678,-0.152807583,2.792661377,,ibm
twitter,-33.33333333,22.22222222,-1.168661363,3.323639739,,netflix
,,,,,,google
,,,,,,twitter
