org_abbrev,earnings_period,org_keyword1,org_keyword2,doc_id,start_date,end_date
AAPL,Q117,apple inc,,apple,1/17/17,1/31/17
AAPL,Q416,apple inc,,apple,10/11/16,10/25/16
AAPL,Q316,apple inc,,apple,7/12/16,7/26/16
AAPL,Q216,apple inc,,apple,4/12/16,4/26/16
AAPL,Q116,apple inc,,apple,1/12/16,1/26/16
AAPL,Q415,apple inc,,apple,10/13/15,10/27/15
AAPL,Q315,apple inc,,apple,7/7/15,7/21/15
AAPL,Q215,apple inc,,apple,4/13/15,4/27/15
AAPL,Q115,apple inc,,apple,1/13/15,1/27/15
AAPL,Q414,apple inc,,apple,10/6/14,10/20/14
AAPL,Q314,apple inc,,apple,7/8/14,7/22/14
AAPL,Q214,apple inc,,apple,4/9/14,4/23/14
AAPL,Q114,apple inc,,apple,1/13/14,1/27/14
AAPL,Q413,apple inc,,apple,10/14/13,10/28/13
AAPL,Q313,apple inc,,apple,7/9/13,7/23/13
AAPL,Q213,apple inc,,apple,4/9/13,4/23/13
AAPL,Q113,apple inc,,apple,1/9/13,1/23/13
AAPL,Q412,apple inc,,apple,10/11/12,10/25/12
AAPL,Q312,apple inc,,apple,7/10/12,7/24/12
AAPL,Q212,apple inc,,apple,4/10/12,4/24/12
AAPL,Q112,apple inc,,apple,1/10/12,1/24/12
AAPL,Q411,apple inc,,apple,10/4/11,10/18/11
AAPL,Q311,apple inc,,apple,7/5/11,7/19/11
AAPL,Q211,apple inc,,apple,4/6/11,4/20/11
AAPL,Q111,apple inc,,apple,1/4/11,1/18/11
,,,,,,
GOOG,Q416,google,,google,1/12/17,1/26/17
GOOG,Q316,google,,google,10/13/16,10/27/16
GOOG,Q216,google,,google,7/14/16,7/28/16
GOOG,Q116,google,,google,4/7/16,4/21/16
GOOG,Q415,google,,google,1/18/16,2/1/16
GOOG,Q315,google,,google,10/8/15,10/22/15
GOOG,Q215,google,,google,7/2/15,7/16/15
GOOG,Q115,google,,google,4/9/15,4/23/15
GOOG,Q414,google,,google,1/15/15,1/29/15
GOOG,Q314,google,,google,10/2/14,10/16/14
GOOG,Q214,google,,google,7/3/14,7/17/14
GOOG,Q114,google,,google,4/2/14,4/16/14
,,,,,,
AMZN,Q416,amazon,,amazon,1/19/17,2/2/17
AMZN,Q316,amazon,,amazon,10/13/16,10/27/16
AMZN,Q216,amazon,,amazon,7/14/16,7/28/16
AMZN,Q116,amazon,,amazon,4/14/16,4/28/16
AMZN,Q415,amazon,,amazon,1/14/16,1/28/16
AMZN,Q315,amazon,,amazon,10/8/15,10/22/15
AMZN,Q215,amazon,,amazon,7/9/15,7/23/15
AMZN,Q115,amazon,,amazon,4/9/15,4/23/15
AMZN,Q414,amazon,,amazon,1/15/15,1/29/15
AMZN,Q314,amazon,,amazon,10/9/14,10/23/14
AMZN,Q214,amazon,,amazon,7/10/14,7/24/14
AMZN,Q114,amazon,,amazon,4/10/14,4/24/14
AMZN,Q413,amazon,,amazon,1/16/14,1/30/14
AMZN,Q313,amazon,,amazon,10/10/13,10/24/13
AMZN,Q213,amazon,,amazon,7/11/13,7/25/13
AMZN,Q113,amazon,,amazon,4/11/13,4/25/13
AMZN,Q412,amazon,,amazon,1/15/13,1/29/13
AMZN,Q312,amazon,,amazon,10/11/12,10/25/12
AMZN,Q212,amazon,,amazon,7/12/12,7/26/12
AMZN,Q112,amazon,,amazon,4/12/12,4/26/12
AMZN,Q411,amazon,,amazon,1/17/12,1/31/12
AMZN,Q311,amazon,,amazon,10/11/11,10/25/11
AMZN,Q211,amazon,,amazon,7/12/11,7/26/11
AMZN,Q111,amazon,,amazon,4/12/11,4/26/11
AMZN,Q410,amazon,,amazon,1/13/11,1/27/11
,,,,,,
INTC,Q416,intel,,intel,1/12/17,1/26/17
INTC,Q316,intel,,intel,10/4/16,10/18/16
INTC,Q216,intel,,intel,7/6/16,7/20/16
