Week,Average,Two-Week Average,One-Month Average,Two-Month Moving Average,Weekly Average Diff From Base,Two-Week Average Diff From Base,One-Month Average Diff From Base,Two-Month Average Diff From Base,PxCh,Base Sentiment,-1.1686614
2/18/2015,-1.434595896,,,,-0.265934496,,,,,,
2/25/2015,-2.086475734,-1.760535815,,,-0.917814334,-0.591874415,,,,,
3/4/2015,-0.996799384,-1.541637559,,,0.171862016,-0.372976159,,,,,
3/11/2015,-1.267443205,-1.132121295,-1.446328555,,-0.098781805,0.036540105,-0.277667155,,,,
3/18/2015,-1.447698612,-1.357570909,-1.449604234,,-0.279037212,-0.188909509,-0.280942834,,,,
3/25/2015,-0.738012951,-1.092855781,-1.112488538,,0.430648449,0.075805619,0.056172862,,,,
4/1/2015,-3.123256397,-1.930634674,-1.644102791,,-1.954594997,-0.761973274,-0.475441391,,,,
4/8/2015,-0.684877761,-1.904067079,-1.49846143,-1.472394993,0.483783639,-0.735405679,-0.32980003,-0.303733593,,,
4/15/2015,-0.806316037,-0.745596899,-1.338115786,-1.39386001,0.362345363,0.423064501,-0.169454386,-0.22519861,,,
4/22/2015,-0.720626744,-0.76347139,-1.333769235,-1.223128886,0.448034656,0.40519001,-0.165107835,-0.054467486,,,
4/29/2015,-1.258301633,-0.989464189,-0.867530544,-1.255816668,-0.089640233,0.179197211,0.301130856,-0.087155268,,,
5/6/2015,-1.079346678,-1.168824155,-0.966147773,-1.232304602,0.089314722,-0.000162755,0.202513627,-0.063643202,,,
5/13/2015,0.236498873,-0.421423903,-0.705444046,-1.021779916,1.405160273,0.747237497,0.463217354,0.146881484,,,
5/20/2015,-0.778625635,-0.271063381,-0.719943768,-1.026856502,0.390035765,0.897598019,0.448717632,0.141804898,,,
5/27/2015,-0.253759715,-0.516192675,-0.468808289,-0.668169416,0.914901685,0.652468725,0.699853111,0.500491984,,,
6/3/2015,-0.905307647,-0.579533681,-0.425298531,-0.695723152,0.263353753,0.589127719,0.743362869,0.472938248,,,
6/10/2015,-0.44747209,-0.676389869,-0.596291272,-0.650867659,0.72118931,0.492271531,0.572370128,0.517793741,,,
6/17/2015,-0.225448665,-0.336460378,-0.457997029,-0.588970399,0.943212735,0.832201022,0.710664371,0.579691001,,,
6/24/2015,-0.135520514,-0.180484589,-0.428437229,-0.448622759,1.033140886,0.988176811,0.740224171,0.720038641,,,
